Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,48.0,1.0,48.0,48.0,0.1,23.935309626033675,23.935309626033675,0.0,0.021291732788085938,,,,,,,,,,,,,,,,,,,,,4.7312680373662275,5.985867180576649,23.755696397338376,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,79.0,2.0,31.0,79.0,0.1,17.93350377968507,17.93350377968507,0.0,4.292398691177368,,,,,,,,,,,,,,,,,,,,,3.105936304693055,5.745517164363311,17.890838615460957,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,143.0,3.0,64.0,143.0,0.1,25.93768437289502,25.93768437289502,0.0,12.685697078704834,,,,,,,,,,,,,,,,,,,,,4.752711586603972,7.1378494073892345,25.73630172335492,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,203.0,4.0,60.0,203.0,0.1,13.268668889098723,13.268668889098723,0.0,20.768473386764526,,,,,,,,,,,,,,,,,,,,,2.5659379817132284,3.6699657548726137,13.140981432078657,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,279.0,5.0,76.0,279.0,0.1,51.578582320112936,51.578582320112936,0.0,31.12405300140381,,,,,,,,,,,,,,,,,,,,,21.670742038114003,17.322247921329833,50.534698105060954,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,347.0,6.0,68.0,347.0,0.1,46.08568300458086,46.08568300458086,0.0,40.18089699745178,,,,,,,,,,,,,,,,,,,,,15.106179753586375,17.37128338230827,45.28443255239138,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,399.0,7.0,52.0,399.0,0.1,15.281459855853877,15.281459855853877,0.0,47.297048568725586,,,,,,,,,,,,,,,,,,,,,1.3190694670651562,4.154391774964658,15.273872150013858,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,431.0,8.0,32.0,431.0,0.1,0.0,0.0,0.0,51.78277373313904,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,500.0,9.0,69.0,500.0,0.1,14.665197194588128,14.665197194588128,0.0,60.93472623825073,,,,,,,,,,,,,,,,,,,,,3.2535775337290955,3.7357401963442034,14.469625125386468,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,542.0,10.0,42.0,542.0,0.1,0.0,0.0,0.0,66.73648405075073,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,572.0,11.0,30.0,572.0,0.1,0.0,0.0,0.0,71.01937937736511,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,597.0,12.0,25.0,597.0,0.1,0.0,0.0,0.0,74.91632747650146,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,628.0,13.0,31.0,628.0,0.1,0.0,0.0,0.0,79.40110278129578,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,689.0,14.0,61.0,689.0,0.1,32.088044021254035,32.088044021254035,0.0,87.20259666442871,,,,,,,,,,,,,,,,,,,,,3.8272606038147554,7.947522629223963,31.950336314305645,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,729.0,15.0,40.0,729.0,0.1,0.0,0.0,0.0,92.58248662948608,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,764.0,16.0,35.0,764.0,0.1,0.0,0.0,0.0,97.14047288894653,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,801.0,17.0,37.0,801.0,0.1,0.0,0.0,0.0,102.13246893882751,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,835.0,18.0,34.0,835.0,0.1,0.0,0.0,0.0,106.88538694381714,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,873.0,19.0,38.0,873.0,0.1,8.95076512275609,8.95076512275609,0.0,111.80213117599487,,,,,,,,,,,,,,,,,,,,,0.9407734656420407,2.742804328897285,8.95076512275609,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
