episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
120,1.0,-4.296378575928382,-2.209109418853881,-14.405562358983866,-9.97130144942874,0.8771320007491457,[-9.97130144942874, 0.8771320007491457],0.0,False,True,0.3481841109726043,0,40.20425202998344,1010.082,prepare,0.0
120,2.0,-4.296350393084865,-2.209060663731814,-14.389461912694923,-10.227581211978542,0.6296237805442739,[-10.227581211978542, 0.6296237805442739],0.0,False,True,0.34822187438182267,0,40.20425202998344,1010.17,in_progress,0.0
120,3.0,-4.288272679498502,-2.2124716122881303,-14.767135991929937,8.628772060607574,0.6685182189167718,[8.628772060607574, 0.6685182189167718],0.0,False,True,0.3697916512485952,0,40.20425202998344,1010.221,in_progress,0.0
120,4.0,-4.279150229241933,-2.2154072396466025,-14.922590575105252,14.824374958510795,0.7045099369862555,[14.824374958510795, 0.7045099369862555],0.0,False,True,0.39358467360363497,1,40.20425202998344,1010.314,in_progress,0.0
120,5.0,-4.227741768377732,-2.2260221788033907,-14.325254420398402,-17.47281933643368,0.6849911268231025,[-17.47281933643368, 0.6849911268231025],0.0,False,True,0.5240028618289655,1,40.20425202998344,1010.375,in_progress,0.0
120,6.0,-4.205409330886975,-2.2293778128388144,-13.782050218863379,-30.0,0.829012817528181,[-30.0, 0.829012817528181],0.0,False,True,0.5798819227028272,1,40.20425202998344,1010.428,in_progress,0.0
120,7.0,-4.148284050942403,-2.2454027747326486,-14.227420533739958,-30.0,0.7260620246022609,[-30.0, 0.7260620246022609],0.0,False,True,0.7274175298345819,1,40.20425202998344,1010.496,in_progress,0.0
120,8.0,-4.1013819766024335,-2.262451199831813,-15.37233321227673,-21.024385428866882,0.718712665753502,[-21.024385428866882, 0.718712665753502],0.0,False,True,0.8509483959808389,1,40.20425202998344,1010.605,in_progress,0.0
120,9.0,-4.033494311686054,-2.290857981203216,-17.429555975699223,-22.616305481596676,0.7657561604726651,[-22.616305481596676, 0.7657561604726651],0.0,False,True,1.0320445010433725,1,40.20425202998344,1010.634,in_progress,0.0
120,10.0,-3.9911221743362835,-2.31072788864634,-18.901765584871438,-14.415666447169954,0.9050255152992528,[-14.415666447169954, 0.9050255152992528],0.0,False,True,1.146394062744157,2,40.20425202998344,1010.724,in_progress,0.0
120,11.0,-3.9616802487909175,-2.3282230535200297,-20.53680857383427,-6.742072424276017,0.8024077931320406,[-6.742072424276017, 0.8024077931320406],0.0,False,True,1.2281214623037968,2,40.20425202998344,1010.755,in_progress,0.0
120,12.0,-3.9268391540340875,-2.3499908807073977,-22.432304789170324,16.598831711937848,0.5,[16.598831711937848, 0.5],0.0,False,True,1.3254920532328387,2,40.20425202998344,1010.832,in_progress,0.0
120,13.0,-3.8441980580860466,-2.3959512921217865,-24.68484148202235,15.594515758941355,0.7083420931722403,[15.594515758941355, 0.7083420931722403],0.0,False,True,1.5527900576984826,2,40.20425202998344,1010.902,in_progress,0.0
120,14.0,-3.828579635587999,-2.403298058149423,-24.728224679940013,-30.0,0.6436218340523302,[-30.0, 0.6436218340523302],0.0,False,True,1.594945619240026,2,40.20425202998344,1010.981,in_progress,0.0
120,15.0,-3.778953093833333,-2.428766487238424,-25.293436062969466,30.0,0.5,[30.0, 0.5],0.0,False,True,1.7301961914756585,2,40.20425202998344,1011.04,in_progress,0.0
120,16.0,-3.729116401878113,-2.4579082848903364,-26.447117632631624,30.0,0.869845630554707,[30.0, 0.869845630554707],0.0,False,True,1.8682078735722731,2,40.20425202998344,1011.106,in_progress,0.0
120,17.0,-3.7142311513801087,-2.4654034128362188,-26.498596711283934,30.0,0.9516041668892142,[30.0, 0.9516041668892142],0.0,False,True,1.90868726701552,3,40.20425202998344,1011.134,in_progress,0.0
120,18.0,-3.6788635297134835,-2.4824198310581447,-26.43049640584011,0.571942805376672,0.894081282775274,[0.571942805376672, 0.894081282775274],7.3817247886961,False,True,2.0043808466333366,3,40.20425202998344,1011.234,in_progress,0.0
120,19.0,-3.612664156864551,-2.5103487992902624,-25.45481616887685,6.113931199650054,1.0,[6.113931199650054, 1.0],7.760485010002211,False,True,2.181088501471046,3,40.20425202998344,1011.284,in_progress,0.0
