Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,34.0,1.0,34.0,34.0,0.1,82.99392538479597,82.99392538479597,0.0,0.02138829231262207,,,,,,,,,,,,,,,,,,,,,26.72377931139553,38.62557531532471,82.98465139821222,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,90.0,2.0,56.0,90.0,0.1,1104.3962593729025,1104.3962593729025,0.0,7.556963920593262,,,,,,,,,,,,,,,,,,,,,205.79105622610086,409.27635753749314,1102.750139886515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,123.0,3.0,33.0,123.0,0.1,360.7251718433436,360.7251718433436,0.0,11.836075782775879,,,,,,,,,,,,,,,,,,,,,57.99639810719778,117.28184364992902,360.24812816633647,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,158.0,4.0,35.0,158.0,0.1,0.03400000000000002,0.03400000000000002,0.0,16.59455704689026,,,,,,,,,,,,,,,,,,,,,0.01776910085564213,0.009878079115556465,0.03344493790091646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,209.0,5.0,51.0,209.0,0.1,735.4811994132257,735.4811994132257,0.0,23.35142993927002,,,,,,,,,,,,,,,,,,,,,209.35414758501875,287.3091768829915,732.0841673491072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,282.0,6.0,73.0,282.0,0.1,2005.9488025399053,2005.9488025399053,0.0,32.965739250183105,,,,,,,,,,,,,,,,,,,,,689.2549490020194,852.5685147109925,1989.1649512329645,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,327.0,7.0,45.0,327.0,0.1,395.11983841669473,395.11983841669473,0.0,38.983912229537964,,,,,,,,,,,,,,,,,,,,,36.454477028661486,112.19276188095387,395.0552441714537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,371.0,8.0,44.0,371.0,0.1,0.04300000000000003,0.04300000000000003,0.0,45.1071662902832,,,,,,,,,,,,,,,,,,,,,0.02215813139411125,0.012385401075305605,0.04210921854653362,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,400.0,9.0,29.0,400.0,0.1,2304.113161303274,2304.113161303274,0.0,49.20509600639343,,,,,,,,,,,,,,,,,,,,,494.5464594954156,757.6456578775316,2296.6533884788278,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,423.0,10.0,23.0,423.0,0.1,0.022000000000000013,0.022000000000000013,0.0,52.272066831588745,,,,,,,,,,,,,,,,,,,,,0.011868981896967416,0.006488440623754929,0.02177053271125956,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
