Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,43.0,1.0,43.0,43.0,0.1,2208.653218883214,2208.653218883214,0.0,0.022986888885498047,,,,,,,,,,,,,,,,,,,,,1021.5238055411542,979.5424837312914,2177.757632176028,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,90.0,2.0,47.0,90.0,0.1,823.5263193423636,823.5263193423636,0.0,6.442092180252075,,,,,,,,,,,,,,,,,,,,,173.7594195657583,311.5887416554571,821.9059336390592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,157.0,3.0,67.0,157.0,0.1,1615.7991474616697,1615.7991474616697,0.0,15.040895223617554,,,,,,,,,,,,,,,,,,,,,341.4672247090119,516.7817289183431,1600.9063912897693,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,219.0,4.0,62.0,219.0,0.1,1640.4832833148484,1640.4832833148484,0.0,23.309920072555542,,,,,,,,,,,,,,,,,,,,,485.592074389138,636.9306315641354,1631.4476838173746,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,301.0,5.0,82.0,301.0,0.1,4801.022728910242,4801.022728910242,0.0,33.92835283279419,,,,,,,,,,,,,,,,,,,,,1236.2060503737976,1704.4486208372532,4723.219755558407,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,327.0,6.0,26.0,327.0,0.1,799.0265922089415,799.0265922089415,0.0,37.551175594329834,,,,,,,,,,,,,,,,,,,,,245.00124899088553,367.48909554387586,799.0204221740775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,368.0,7.0,41.0,368.0,0.1,300.2726550673705,300.2726550673705,0.0,43.02983355522156,,,,,,,,,,,,,,,,,,,,,159.44081632236734,148.16876019513262,300.2524662025415,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,412.0,8.0,44.0,412.0,0.1,142.15575557530832,142.15575557530832,0.0,48.87975883483887,,,,,,,,,,,,,,,,,,,,,35.373237939230435,61.2395159373334,142.14620051320904,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,533.0,9.0,121.0,533.0,0.1,4641.1753486254565,4641.1753486254565,0.0,64.36063861846924,,,,,,,,,,,,,,,,,,,,,1343.2486378206836,1289.8695518043994,4505.604409866734,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,576.0,10.0,43.0,576.0,0.1,197.81200143917383,197.81200143917383,0.0,70.26485800743103,,,,,,,,,,,,,,,,,,,,,82.10916007424987,96.75359423785203,197.79567902428923,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,620.0,11.0,44.0,620.0,0.1,1999.4557004808312,1999.4557004808312,0.0,76.29473495483398,,,,,,,,,,,,,,,,,,,,,90.85911241005739,416.2716226998648,1999.4548096993792,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,702.0,12.0,82.0,702.0,0.1,7346.498057148144,7346.498057148144,0.0,86.8591673374176,,,,,,,,,,,,,,,,,,,,,3497.693185183523,2621.1417995809234,7123.536227099304,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,763.0,13.0,61.0,763.0,0.1,964.7039134395384,964.7039134395384,0.0,94.84844827651978,,,,,,,,,,,,,,,,,,,,,495.6810558985638,430.0377643835335,946.689841959874,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,828.0,14.0,65.0,828.0,0.1,1227.6576750836357,1227.6576750836357,0.0,103.76202440261841,,,,,,,,,,,,,,,,,,,,,651.9241861268525,461.8414746166405,1197.1928450501075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,905.0,15.0,77.0,905.0,0.1,4497.783050019212,4497.783050019212,0.0,113.73185133934021,,,,,,,,,,,,,,,,,,,,,1344.4525800327972,1757.6246588956753,4429.566984043471,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1046.0,16.0,141.0,1046.0,0.1,3962.7989992916255,3962.7989992916255,0.0,131.67555975914001,,,,,,,,,,,,,,,,,,,,,1699.9901413727966,1029.822787528658,3749.261637383396,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1101.0,17.0,55.0,1101.0,0.1,2760.498311217319,2760.498311217319,0.0,138.8315851688385,,,,,,,,,,,,,,,,,,,,,1217.0903035688634,1049.121595989999,2715.198082439487,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1141.0,18.0,40.0,1141.0,0.1,314.1827878246756,314.1827878246756,0.0,144.28314542770386,,,,,,,,,,,,,,,,,,,,,54.83072299494074,119.01445862364793,314.1772327625774,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1258.0,19.0,117.0,1258.0,0.1,8327.936896193794,8327.936896193794,0.0,159.2199251651764,,,,,,,,,,,,,,,,,,,,,867.498439890791,1447.9653147259357,8242.917170149682,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1341.0,20.0,83.0,1341.0,0.1,463.12081895851924,463.12081895851924,0.0,169.9468276500702,,,,,,,,,,,,,,,,,,,,,61.10153900419306,156.23239153271157,463.1092520809429,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,39.0,1.0,39.0,1380.0,0.1,791.7326201695055,791.7326201695055,0.0,250.18226385116577,,,,,,,,,,,,,,,,,,,,,262.34033210726756,370.9902117177811,791.7212720770364,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,91.0,2.0,52.0,1432.0,0.1,9365.835095037655,9365.835095037655,0.0,256.9523618221283,,,,,,,,,,,,,,,,,,,,,1347.6152428451387,2366.7800913760557,9314.3785451214,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,181.0,3.0,90.0,1522.0,0.1,2126.0331657564047,2126.0331657564047,0.0,268.3780233860016,,,,,,,,,,,,,,,,,,,,,1241.4441709175883,847.2506246124985,2067.364438113215,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
