Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,93.0,1.0,93.0,93.0,0.1,367.3754982055411,367.3754982055411,0.0,0.014625787734985352,,,,,,,,,,,,,,,,,,,,,151.74879940937282,110.58729057126818,353.97044678358964,0.2752141057356816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,142.0,2.0,49.0,142.0,0.1,240.83600956450198,240.83600956450198,0.0,6.38893723487854,,,,,,,,,,,,,,,,,,,,,105.68016075175261,79.2358170027647,236.12970496789686,1.2383769162765024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,193.0,3.0,51.0,193.0,0.1,130.1864071899202,130.1864071899202,0.0,12.927748203277588,,,,,,,,,,,,,,,,,,,,,50.90155125330494,37.6682144751361,127.84599221443831,1.0685519370255392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,225.0,4.0,32.0,225.0,0.1,102.70743813600086,102.70743813600086,0.0,17.41395878791809,,,,,,,,,,,,,,,,,,,,,33.1403319660373,31.268639388760075,101.85054675605303,0.6814499688503339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,285.0,5.0,60.0,285.0,0.1,345.2380280576463,345.2380280576463,0.0,25.120606422424316,,,,,,,,,,,,,,,,,,,,,181.44233244324874,107.48373436500141,335.02119548081754,1.412539808896165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,345.0,6.0,60.0,345.0,0.1,422.2557419572178,422.2557419572178,0.0,33.080745697021484,,,,,,,,,,,,,,,,,,,,,224.02965173151188,111.33989738897293,409.63281885822477,0.017602057640111468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,380.0,7.0,35.0,380.0,0.1,145.70258013245592,145.70258013245592,0.0,37.85530757904053,,,,,,,,,,,,,,,,,,,,,51.92982820508216,47.70205925270366,144.17323844893747,1.0921056478318514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,413.0,8.0,33.0,413.0,0.1,86.52531735218169,86.52531735218169,0.0,42.394776582717896,,,,,,,,,,,,,,,,,,,,,31.32861593518295,22.83724130475202,85.66271278918623,0.7302273028308992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,480.0,9.0,67.0,480.0,0.1,203.82364378584575,203.82364378584575,0.0,51.22055220603943,,,,,,,,,,,,,,,,,,,,,66.97746691586046,65.047642706068,199.73542461629117,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,510.0,10.0,30.0,510.0,0.1,73.92243608745879,73.92243608745879,0.0,55.1850221157074,,,,,,,,,,,,,,,,,,,,,19.839960132072793,21.00328584394896,73.47411203345143,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
