Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,68.0,1.0,68.0,68.0,0.1,13943.818783669954,13943.818783669954,0.0,0.01656198501586914,,,,,,,,,,,,,,,,,,,,,5808.5114620277145,4607.949612974046,13575.978385043769,6.496511836131802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,100.0,2.0,32.0,100.0,0.1,5750.533269562636,5750.533269562636,0.0,4.327784776687622,,,,,,,,,,,,,,,,,,,,,2408.7292820982884,1874.0043043051282,5684.817883484577,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,128.0,3.0,28.0,128.0,0.1,4737.197744686472,4737.197744686472,0.0,7.968465566635132,,,,,,,,,,,,,,,,,,,,,2321.77259049365,1153.2022154425008,4681.546523653434,32.10589759217505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,205.0,4.0,77.0,205.0,0.1,22626.64173536387,22626.64173536387,0.0,17.287717580795288,,,,,,,,,,,,,,,,,,,,,10612.062992726585,6983.7511137438705,21853.19742657966,328.71141379204323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,260.0,5.0,55.0,260.0,0.1,9661.388969474265,9661.388969474265,0.0,24.271392822265625,,,,,,,,,,,,,,,,,,,,,4060.3449619708563,2864.4385573851782,9456.974488568516,284.8280794143867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,296.0,6.0,36.0,296.0,0.1,6981.921100806655,6981.921100806655,0.0,28.757888793945312,,,,,,,,,,,,,,,,,,,,,3569.2454565350945,1786.9225068441028,6867.1557086329485,150.03554878456927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,347.0,7.0,51.0,347.0,0.1,9241.614185089218,9241.614185089218,0.0,35.266459465026855,,,,,,,,,,,,,,,,,,,,,3451.2433877472267,2958.7726876993456,9083.759206968845,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,387.0,8.0,40.0,387.0,0.1,8273.596224485824,8273.596224485824,0.0,40.192336082458496,,,,,,,,,,,,,,,,,,,,,3922.97628903555,2277.1612147561773,8132.934909809113,333.10604955900396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,443.0,9.0,56.0,443.0,0.1,11760.234279288952,11760.234279288952,0.0,47.284196615219116,,,,,,,,,,,,,,,,,,,,,5410.113427526621,3504.6637301807373,11480.216880892367,322.77748058252325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,468.0,10.0,25.0,468.0,0.1,2751.6916966575473,2751.6916966575473,0.0,50.83111262321472,,,,,,,,,,,,,,,,,,,,,755.8876575111088,772.1982868924324,2738.2683035585833,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,494.0,11.0,26.0,494.0,0.1,3639.560205134173,3639.560205134173,0.0,54.09969782829285,,,,,,,,,,,,,,,,,,,,,1316.2568416520664,1051.8806720605285,3612.5590327577015,127.32085388613143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,518.0,12.0,24.0,518.0,0.1,2583.797279564441,2583.797279564441,0.0,57.35585021972656,,,,,,,,,,,,,,,,,,,,,632.9300691866455,771.5793912364479,2573.75188792793,0.052975751005119746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
