Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,37.0,1.0,37.0,37.0,0.1,176.64373360886492,176.64373360886492,0.0,0.016529083251953125,,,,,,,,,,,,,,,,,,,,,93.75801058680278,55.6457961827087,173.6952520612761,10.152452759832457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,84.0,2.0,47.0,84.0,0.1,479.26841099738556,479.26841099738556,0.0,6.356077432632446,,,,,,,,,,,,,,,,,,,,,272.7421745358388,139.0754989725885,468.67381312055545,74.81756119916088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,121.0,3.0,37.0,121.0,0.1,306.1369834065939,306.1369834065939,0.0,11.405745029449463,,,,,,,,,,,,,,,,,,,,,172.92910023097264,101.48049077387104,300.64972847853124,1.716048353877859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,178.0,4.0,57.0,178.0,0.1,584.4322366590288,584.4322366590288,0.0,18.92855405807495,,,,,,,,,,,,,,,,,,,,,304.19587881136135,218.09396664158717,569.6604592983919,10.094807824428692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,210.0,5.0,32.0,210.0,0.1,288.9413211604909,288.9413211604909,0.0,23.41890525817871,,,,,,,,,,,,,,,,,,,,,189.14604294396977,91.42885887277129,283.8261932780775,15.969339743557727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,243.0,6.0,33.0,243.0,0.1,204.00982387094382,204.00982387094382,0.0,27.776113033294678,,,,,,,,,,,,,,,,,,,,,108.5347851321998,64.50115757620266,201.07444139309357,7.117879709357684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,285.0,7.0,42.0,285.0,0.1,260.2652627600963,260.2652627600963,0.0,33.16959738731384,,,,,,,,,,,,,,,,,,,,,126.63230967491468,91.0828576240559,255.76922999084135,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,407.0,8.0,122.0,407.0,0.1,2068.9158126774996,2068.9158126774996,0.0,48.56070947647095,,,,,,,,,,,,,,,,,,,,,1142.0449184572637,675.720036182329,1938.186361076932,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,432.0,9.0,25.0,432.0,0.1,85.77866272687758,85.77866272687758,0.0,51.8938570022583,,,,,,,,,,,,,,,,,,,,,40.222969390039424,34.9666938855826,85.03673605151414,-0.19530571600724525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,469.0,10.0,37.0,469.0,0.1,339.9517927266882,339.9517927266882,0.0,56.7666130065918,,,,,,,,,,,,,,,,,,,,,135.24036461831727,126.2609860510477,336.18958360697815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,500.0,11.0,31.0,500.0,0.1,257.5653009607979,257.5653009607979,0.0,60.8149151802063,,,,,,,,,,,,,,,,,,,,,152.33170936509214,69.38240203382665,253.6030666147275,43.48978783775236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,524.0,12.0,24.0,524.0,0.1,31.67265337837941,31.67265337837941,0.0,64.1942389011383,,,,,,,,,,,,,,,,,,,,,13.115976964004552,12.727201148362635,31.48422343849,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,548.0,13.0,24.0,548.0,0.1,51.134923406979254,51.134923406979254,0.0,67.66752910614014,,,,,,,,,,,,,,,,,,,,,25.83507975151169,18.80283807344438,50.66672973261835,1.5634597090403892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,599.0,14.0,51.0,599.0,0.1,389.37670571535205,389.37670571535205,0.0,74.2306272983551,,,,,,,,,,,,,,,,,,,,,179.62938420896256,131.09730617082784,381.6624327691131,4.399644092820632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,664.0,15.0,65.0,664.0,0.1,732.2348423619402,732.2348423619402,0.0,82.64339566230774,,,,,,,,,,,,,,,,,,,,,334.1109462254029,265.76470276547536,713.0328974423588,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,690.0,16.0,26.0,690.0,0.1,73.85094174669041,73.85094174669041,0.0,86.26191449165344,,,,,,,,,,,,,,,,,,,,,38.985944133600626,25.87292642725324,73.12869397289576,2.085645506626427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,723.0,17.0,33.0,723.0,0.1,134.368697436324,134.368697436324,0.0,90.62747168540955,,,,,,,,,,,,,,,,,,,,,70.16711014551447,45.004694062220764,132.45197407181175,3.96159728592196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,750.0,18.0,27.0,750.0,0.1,136.98185647837758,136.98185647837758,0.0,94.30994081497192,,,,,,,,,,,,,,,,,,,,,61.82604946887955,52.23108023335411,135.7193040326229,4.916738219879745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,783.0,19.0,33.0,783.0,0.1,129.5202825893716,129.5202825893716,0.0,98.82644081115723,,,,,,,,,,,,,,,,,,,,,55.42890392034582,47.37554997423374,128.0749695718821,1.6814838127766443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,815.0,20.0,32.0,815.0,0.1,142.80216645663234,142.80216645663234,0.0,102.97324109077454,,,,,,,,,,,,,,,,,,,,,63.866736994530534,49.34492940434995,141.2243769346458,0.8168095593475723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,76.0,1.0,76.0,891.0,0.1,980.6629244106243,980.6629244106243,0.0,177.20460152626038,,,,,,,,,,,,,,,,,,,,,491.9278561437109,331.42546806762306,947.5620630109757,14.673661158068889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,152.0,2.0,76.0,967.0,0.1,774.1955044446355,774.1955044446355,0.0,186.8598370552063,,,,,,,,,,,,,,,,,,,,,355.6103684656755,258.27134661752734,750.4837362827448,4.115086641143344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,188.0,3.0,36.0,1003.0,0.1,240.7648638409651,240.7648638409651,0.0,191.4060938358307,,,,,,,,,,,,,,,,,,,,,133.73059768143557,71.67313625359029,236.728005670932,5.105827789836286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,234.0,4.0,46.0,1049.0,0.1,350.014507109848,350.014507109848,0.0,197.38833451271057,,,,,,,,,,,,,,,,,,,,,144.74536920581804,127.26002365722016,344.70455715940614,1.793168091086275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,262.0,5.0,28.0,1077.0,0.1,235.01806142480896,235.01806142480896,0.0,201.12919449806213,,,,,,,,,,,,,,,,,,,,,110.06523550512289,89.82586226977854,232.63343747541273,3.359794882859784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
