Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,39.0,1.0,39.0,39.0,0.1,9.281227210934896,9.281227210934896,0.0,0.014431238174438477,,,,,,,,,,,,,,,,,,,,,4.998790788716156,2.8544212438273897,9.113587801930944,0.07938838430219947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,89.0,2.0,50.0,89.0,0.1,19.4177268418087,19.4177268418087,0.0,6.466823577880859,,,,,,,,,,,,,,,,,,,,,10.356569396302167,6.039586639416425,18.968511430361467,0.5257962054235471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,138.0,3.0,49.0,138.0,0.1,14.313328544766362,14.313328544766362,0.0,12.860026121139526,,,,,,,,,,,,,,,,,,,,,7.032938102691526,4.723148173156237,14.018572051977225,0.26445797447985187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,171.0,4.0,33.0,171.0,0.1,7.586391615116493,7.586391615116493,0.0,17.15981960296631,,,,,,,,,,,,,,,,,,,,,3.4050250325174347,2.8707007035460648,7.503969484934884,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,221.0,5.0,50.0,221.0,0.1,18.31769180465664,18.31769180465664,0.0,23.70562744140625,,,,,,,,,,,,,,,,,,,,,9.037178006469635,6.248991231100183,17.93187671798625,0.025648119965638413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,265.0,6.0,44.0,265.0,0.1,14.308015021430954,14.308015021430954,0.0,29.161487340927124,,,,,,,,,,,,,,,,,,,,,8.0811920842135,4.501781104968308,14.008126729225047,0.4439543340812255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,324.0,7.0,59.0,324.0,0.1,16.673677357454807,16.673677357454807,0.0,36.5680627822876,,,,,,,,,,,,,,,,,,,,,7.4473910210711,5.838995270637233,16.29934687495419,0.012018788147673229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,347.0,8.0,23.0,347.0,0.1,2.836182058274671,2.836182058274671,0.0,40.26138401031494,,,,,,,,,,,,,,,,,,,,,1.2448684067951792,1.0056554331898906,2.8159896085913187,0.09971748001961636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,413.0,9.0,66.0,413.0,0.1,17.69100450289234,17.69100450289234,0.0,48.57226872444153,,,,,,,,,,,,,,,,,,,,,9.038015586690626,5.712553667175086,17.176766534468612,0.1605204451981127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,453.0,10.0,40.0,453.0,0.1,11.174978205317801,11.174978205317801,0.0,53.75458240509033,,,,,,,,,,,,,,,,,,,,,5.160608359316259,4.036070511622829,11.006328021461895,0.044678501348693236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,477.0,11.0,24.0,477.0,0.1,4.156317736526008,4.156317736526008,0.0,56.958786487579346,,,,,,,,,,,,,,,,,,,,,1.789986746309144,1.6057173666658198,4.125722850122128,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,504.0,12.0,27.0,504.0,0.1,4.599947036972327,4.599947036972327,0.0,60.39711380004883,,,,,,,,,,,,,,,,,,,,,2.7815353198808093,1.2997637826089998,4.542908303410642,0.8020949544372697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,537.0,13.0,33.0,537.0,0.1,7.252562191210567,7.252562191210567,0.0,65.21347904205322,,,,,,,,,,,,,,,,,,,,,3.187058082837239,2.6244776176000832,7.16887439821727,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,578.0,14.0,41.0,578.0,0.1,8.523931684192492,8.523931684192492,0.0,70.65798687934875,,,,,,,,,,,,,,,,,,,,,3.739573504920014,3.0803277761450234,8.404107215078762,0.016084825507819575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,601.0,15.0,23.0,601.0,0.1,3.0509758117816137,3.0509758117816137,0.0,73.87901020050049,,,,,,,,,,,,,,,,,,,,,1.876790262311724,0.9058049402448769,3.019858717636754,0.1727441954134723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,633.0,16.0,32.0,633.0,0.1,5.507870601178119,5.507870601178119,0.0,78.16057205200195,,,,,,,,,,,,,,,,,,,,,2.5055064135556924,2.092278684465366,5.449431166387277,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,660.0,17.0,27.0,660.0,0.1,3.9446915696206184,3.9446915696206184,0.0,82.05659198760986,,,,,,,,,,,,,,,,,,,,,1.9545359648572476,1.4062367774869933,3.903618246357425,0.12362644388576886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,692.0,18.0,32.0,692.0,0.1,5.825121050316325,5.825121050316325,0.0,86.51706600189209,,,,,,,,,,,,,,,,,,,,,3.447018690044106,1.7520460607600612,5.731995247724339,0.17914944895097523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,726.0,19.0,34.0,726.0,0.1,8.029540474465884,8.029540474465884,0.0,91.13037037849426,,,,,,,,,,,,,,,,,,,,,4.32155714427197,2.764237835569938,7.914222871409225,0.2547571054715295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
