Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,90.0,1.0,90.0,90.0,0.1,11.16878344761914,11.16878344761914,0.0,0.015429496765136719,,,,,,,,,,,,,,,,,,,,,5.611797314264905,3.142416995912166,10.685081166587311,0.12000564037708297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,120.0,2.0,30.0,120.0,0.1,3.1004486292047364,3.1004486292047364,0.0,4.132946491241455,,,,,,,,,,,,,,,,,,,,,1.604202840240411,0.9014030073528279,3.0584363582777216,0.09415297970782119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,149.0,3.0,29.0,149.0,0.1,3.137194895460425,3.137194895460425,0.0,8.468568325042725,,,,,,,,,,,,,,,,,,,,,1.6304723923758773,0.9072655372896461,3.0961003005823895,0.10602927638672512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,195.0,4.0,46.0,195.0,0.1,5.89146049447674,5.89146049447674,0.0,14.56778597831726,,,,,,,,,,,,,,,,,,,,,3.0750788910196674,1.7258197852322374,5.761524152270223,0.1194040306377666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,250.0,5.0,55.0,250.0,0.1,6.784944156847967,6.784944156847967,0.0,21.651829481124878,,,,,,,,,,,,,,,,,,,,,3.464292207723606,1.9660237424300773,6.607616711228914,0.11854783809346277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,291.0,6.0,41.0,291.0,0.1,5.094815667339095,5.094815667339095,0.0,26.99723196029663,,,,,,,,,,,,,,,,,,,,,2.6245088460604467,1.4755197022312518,4.997200207866139,0.12266835582936911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,322.0,7.0,31.0,322.0,0.1,3.3327008255009973,3.3327008255009973,0.0,31.07136368751526,,,,,,,,,,,,,,,,,,,,,1.7444418021632684,0.9718063214771716,3.285190224893499,0.10163290124042679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,349.0,8.0,27.0,349.0,0.1,2.4050084079153975,2.4050084079153975,0.0,34.6295280456543,,,,,,,,,,,,,,,,,,,,,1.1731386983864482,0.7037605781685325,2.3780874598912867,0.06943654060777303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,424.0,9.0,75.0,424.0,0.1,9.641928199470843,9.641928199470843,0.0,44.29413866996765,,,,,,,,,,,,,,,,,,,,,4.958663660104251,2.7461245580816382,9.28859632902475,0.12131913121616715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,459.0,10.0,35.0,459.0,0.1,3.033797692579358,3.033797692579358,0.0,49.04658913612366,,,,,,,,,,,,,,,,,,,,,1.5152145723780202,0.86342073100396,2.9867356671447505,0.08493687215529978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,495.0,11.0,36.0,495.0,0.1,3.733603108720775,3.733603108720775,0.0,54.14058566093445,,,,,,,,,,,,,,,,,,,,,1.9333771572664142,1.0810478150734943,3.6713405408002457,0.100284446218642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
