episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-4.296152005777303,-2.2091053985546902,-14.388899459094155,3.229117691516876,0.7561339875683188,[3.229117691516876, 0.7561339875683188],0.0,False,True,0.34872749454602153,0,40.20425202998344,8.433,prepare,0.0
0,2.0,-4.2963503930849605,-2.2090606637317896,-14.389461912694923,10.111119747161865,0.5269030332565308,[10.111119747161865, 0.5269030332565308],1.0,False,True,0.3482218743818229,0,40.20425202998344,8.528,in_progress,0.0
0,3.0,-4.270882116533071,-2.21534593718611,-14.341321836690918,7.612976431846619,0.8168717473745346,[7.612976431846619, 0.8168717473745346],1.0,False,True,0.41346689503214473,1,40.20425202998344,8.612,in_progress,0.0
0,4.0,-4.2352816199475045,-2.22394750527385,-14.241629246730877,0.822980236262083,0.7411623485386372,[0.822980236262083, 0.7411623485386372],1.0,False,True,0.504554922007597,1,40.20425202998344,8.652,in_progress,0.0
0,5.0,-4.209912923746027,-2.2297594331959414,-14.12366387741806,9.356240630149841,0.7536387254949659,[9.356240630149841, 0.7536387254949659],1.0,False,True,0.5692674409613033,1,40.20425202998344,8.717,in_progress,0.0
0,6.0,-4.141973987265174,-2.244230075311626,-13.584024905946528,-3.382994905114174,0.7147472277283669,[-3.382994905114174, 0.7147472277283669],1.0,False,True,0.7418953029039654,1,40.20425202998344,8.801,in_progress,0.0
0,7.0,-4.080310354847564,-2.257601887353272,-13.261673263195163,-18.319095969200134,0.6627497375011444,[-18.319095969200134, 0.6627497375011444],1.0,False,True,0.8987390445290854,1,40.20425202998344,8.836,in_progress,0.0
0,8.0,-4.0586699623281195,-2.2620386044410488,-13.08898328500706,-5.113973468542099,0.6926165670156479,[-5.113973468542099, 0.6926165670156479],1.0,False,True,0.9536212798314727,1,40.20425202998344,8.908,in_progress,0.0
0,9.0,-3.995337349116652,-2.2774839551190227,-13.203889461091602,-24.719098806381226,0.7365749208256602,[-24.719098806381226, 0.7365749208256602],1.0,False,True,1.1157553364660544,1,40.20425202998344,9.001,in_progress,0.0
0,10.0,-3.9235636044456172,-2.296322824704369,-13.6210827977312,-6.285897642374039,0.6670426800847054,[-6.285897642374039, 0.6670426800847054],1.0,False,True,1.3003214556930407,2,40.20425202998344,9.046,in_progress,0.0
0,11.0,-3.895203747131736,-2.3063170015426233,-14.332724334113026,-14.637179374694824,0.7309093177318573,[-14.637179374694824, 0.7309093177318573],1.0,False,True,1.374820062505875,2,40.20425202998344,9.142,in_progress,0.0
0,12.0,-3.821472377008541,-2.3354674596125493,-16.477659034904804,9.359930455684662,0.755199933424592,[9.359930455684662, 0.755199933424592],1.0,False,True,1.5704451343228687,2,40.20425202998344,9.189,in_progress,0.0
0,13.0,-3.7790112989511555,-2.353320683181991,-17.571181231027467,23.112151622772217,0.8682496771216393,[23.112151622772217, 0.8682496771216393],1.0,False,True,1.6837502718650352,2,40.20425202998344,9.246,in_progress,0.0
0,14.0,-3.722556348301733,-2.3712424782663892,-17.586906950048764,-0.4590514115989208,0.6553557887673378,[-0.4590514115989208, 0.6553557887673378],1.0,False,True,1.8308281151186416,2,40.20425202998344,9.34,in_progress,0.0
0,15.0,-3.6517799290218105,-2.3946488973826088,-17.83675159833891,-5.250977575778961,0.6348928436636925,[-5.250977575778961, 0.6348928436636925],1.0,False,True,2.015792453465705,3,40.20425202998344,9.416,in_progress,0.0
0,16.0,-3.6320296165349184,-2.4011277977847056,-17.86494945524639,-6.52897909283638,0.6544700860977173,[-6.52897909283638, 0.6544700860977173],1.0,False,True,2.0673747989864735,3,40.20425202998344,9.446,in_progress,0.0
0,17.0,-3.6017967509206597,-2.4105546235867537,-17.780727418798456,-23.72916877269745,0.6132820546627045,[-23.72916877269745, 0.6132820546627045],1.0,False,True,2.1460334512619474,3,40.20425202998344,9.512,in_progress,0.0
0,18.0,-3.5590888102215943,-2.4305535880744036,-19.03165587835462,13.846310377120972,0.7757970038801432,[13.846310377120972, 0.7757970038801432],1.0,False,True,2.261170415328738,3,40.20425202998344,9.588000000000001,in_progress,0.0
0,19.0,-3.508258151208656,-2.4555943655433543,-20.65784853197678,30.0,0.823223240673542,[30.0, 0.823223240673542],1.0,False,True,2.3990315762355605,3,40.20425202998344,9.629,in_progress,0.0
0,20.0,-3.466761618746639,-2.4711191000950024,-20.65124108472258,30.0,0.7206780202686787,[30.0, 0.7206780202686787],1.0,False,True,2.508570609345876,3,40.20425202998344,9.736,in_progress,0.0
0,21.0,-3.405378348857013,-2.4897205877155035,-19.69757690968976,30.0,0.7859967909753323,[30.0, 0.7859967909753323],1.0,False,True,2.66793750200764,4,40.20425202998344,9.791,in_progress,0.0
0,22.0,-3.3672244505735587,-2.4983075990366497,-18.569798347535425,21.84822142124176,0.6476426869630814,[21.84822142124176, 0.6476426869630814],1.0,False,True,2.7651761262836976,4,40.20425202998344,9.901,in_progress,0.0
0,23.0,-3.243250510013259,-2.5099423980171083,-12.711983303636261,23.823552131652832,0.7977855950593948,[23.823552131652832, 0.7977855950593948],1.0,False,True,3.071130792578364,4,40.20425202998344,9.955,in_progress,0.0
0,24.0,-3.226136657641458,-2.5098033188626006,-11.7623762159783,19.68375027179718,0.7948524989187717,[19.68375027179718, 0.7948524989187717],1.0,False,True,3.1123154200346272,4,40.20425202998344,9.993,in_progress,0.0
0,25.0,-3.1989069870732023,-2.509516539893808,-10.398491438600198,-7.077640146017075,0.8220320641994476,[-7.077640146017075, 0.8220320641994476],1.0,False,True,3.1778039295885714,4,40.20425202998344,10.048,in_progress,0.0
0,26.0,-3.1560716309914123,-2.5092643873559353,-8.552424391210103,-1.6448722779750824,0.5,[-1.6448722779750824, 0.5],1.0,False,True,3.2809460563953388,4,40.20425202998344,10.111,in_progress,0.0
0,27.0,-3.0979967627120923,-2.5065620572985097,-5.9414376223962,-18.35552752017975,0.7319929637014866,[-18.35552752017975, 0.7319929637014866],1.0,False,True,3.4193442600758948,5,40.20425202998344,10.187,in_progress,0.0
0,28.0,-3.057931526592276,-2.5049786723923777,-4.595795466663687,-21.28286898136139,0.8545186743140221,[-21.28286898136139, 0.8545186743140221],1.0,False,True,3.5149949415983914,5,40.20425202998344,10.272,in_progress,0.0
