Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,57.0,1.0,57.0,57.0,0.1,7.126524487455044,7.126524487455044,0.0,0.016909360885620117,,,,,,,,,,,,,,,,,,,,,3.689857556183793,2.0434274731658584,6.930055788273326,0.12889854717690574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,134.0,2.0,77.0,134.0,0.1,9.024712910892887,9.024712910892887,0.0,9.661761283874512,,,,,,,,,,,,,,,,,,,,,4.6359031269689455,2.525260996232035,8.685109904816004,0.12849986687165416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,172.0,3.0,38.0,172.0,0.1,4.212637492475765,4.212637492475765,0.0,14.66394829750061,,,,,,,,,,,,,,,,,,,,,2.201610339186105,1.2226796213567728,4.13724665565134,0.10592317925132602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,197.0,4.0,25.0,197.0,0.1,2.351671177965263,2.351671177965263,0.0,18.0339298248291,,,,,,,,,,,,,,,,,,,,,1.201943625969555,0.6808763636209909,2.326272806656531,0.09478407813957279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,279.0,5.0,82.0,279.0,0.1,10.259138022034552,10.259138022034552,0.0,28.41530179977417,,,,,,,,,,,,,,,,,,,,,5.225835267416184,2.894328359134831,9.850310300396918,0.13070514922961157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,427.0,6.0,148.0,427.0,0.1,18.111538224888765,18.111538224888765,0.0,46.554797887802124,,,,,,,,,,,,,,,,,,,,,8.930448216419773,4.9459750413899926,16.8234619893754,0.12195533043974774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,476.0,7.0,49.0,476.0,0.1,5.2902023955771424,5.2902023955771424,0.0,52.73625636100769,,,,,,,,,,,,,,,,,,,,,2.755902763032284,1.5330926170147894,5.1654889726448765,0.10714479468501785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,501.0,8.0,25.0,501.0,0.1,2.372888061947615,2.372888061947615,0.0,56.240395307540894,,,,,,,,,,,,,,,,,,,,,1.192200492518244,0.6943206441621409,2.3477762543671385,0.08094578656299722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,570.0,9.0,69.0,570.0,0.1,7.842704270547131,7.842704270547131,0.0,64.96315598487854,,,,,,,,,,,,,,,,,,,,,3.893022334619326,2.2313765687149627,7.5892566535087616,0.10729988708803692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,595.0,10.0,25.0,595.0,0.1,2.31771096434424,2.31771096434424,0.0,68.30699253082275,,,,,,,,,,,,,,,,,,,,,1.1372090847612955,0.6871411849071197,2.2938661757104524,0.07214517284360045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
