Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,70.0,1.0,70.0,70.0,0.1,289.0161368811665,0.0,0.0,0.014447689056396484,,,,,,,,,,,,,,,,,,,,,141.70417237770607,82.69686293334196,279.6558769126756,2.155741099888073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,132.0,2.0,62.0,132.0,0.1,253.62533261332158,0.0,0.0,6.285358428955078,,,,,,,,,,,,,,,,,,,,,124.93016276616525,72.99023028516301,246.37216047060002,4.155993779655214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,185.0,3.0,53.0,185.0,0.1,219.89355294987726,0.0,0.0,11.580817222595215,,,,,,,,,,,,,,,,,,,,,106.49817948225866,63.01902162277571,214.67829134170964,2.0773942894331685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,220.0,4.0,35.0,220.0,0.1,142.00649295041805,0.0,0.0,15.047688245773315,,,,,,,,,,,,,,,,,,,,,69.66227088472183,42.19716373061023,139.84786936030403,2.1631910600279713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,254.0,5.0,34.0,254.0,0.1,125.94499144081954,0.0,0.0,18.56220269203186,,,,,,,,,,,,,,,,,,,,,61.393737114409106,38.23768929283709,124.10569165655104,2.1106911653790257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,281.0,6.0,27.0,281.0,0.1,97.32893796544846,0.0,0.0,21.481709241867065,,,,,,,,,,,,,,,,,,,,,45.961189471220386,30.709731017471082,96.28045047021551,2.1000166058964194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,313.0,7.0,32.0,313.0,0.1,127.70436784568311,0.0,0.0,24.944386959075928,,,,,,,,,,,,,,,,,,,,,63.13587565590959,37.898516958255776,125.9357654197681,2.090765389727888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,354.0,8.0,41.0,354.0,0.1,151.07011771392894,0.0,0.0,29.2192440032959,,,,,,,,,,,,,,,,,,,,,69.97506597241639,46.17249591847341,148.49798748604445,2.231781417582232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,463.0,9.0,109.0,463.0,0.1,455.1700300809033,0.0,0.0,39.998075008392334,,,,,,,,,,,,,,,,,,,,,213.5993153799201,128.78674127103423,432.75277750672797,4.115926950108927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,499.0,10.0,36.0,499.0,0.1,142.7265722946259,0.0,0.0,43.84511399269104,,,,,,,,,,,,,,,,,,,,,68.1352178144563,42.94077519883545,140.55467324512242,2.1481858059711474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,534.0,11.0,35.0,534.0,0.1,142.22831630719054,0.0,0.0,47.597015380859375,,,,,,,,,,,,,,,,,,,,,70.24690190750955,43.68192788649286,140.0496339587111,2.1340499254306753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,586.0,12.0,52.0,586.0,0.1,214.61042592561913,0.0,0.0,52.79880666732788,,,,,,,,,,,,,,,,,,,,,103.7399595864959,62.36011299999063,209.63500840893084,4.08948354585329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,621.0,13.0,35.0,621.0,0.1,138.80761905720027,0.0,0.0,56.47786521911621,,,,,,,,,,,,,,,,,,,,,67.24157339671024,42.67107827654984,136.72748222528384,4.0761142175577305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,644.0,14.0,23.0,644.0,0.1,92.3246356795327,0.0,0.0,58.957775831222534,,,,,,,,,,,,,,,,,,,,,46.026362160199376,28.822872295888025,91.44883557215687,2.0981116980665067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,683.0,15.0,39.0,683.0,0.1,149.25192549277696,0.0,0.0,63.17288613319397,,,,,,,,,,,,,,,,,,,,,73.6430478804536,45.41230840326977,146.67304604448216,2.1056961154211575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,709.0,16.0,26.0,709.0,0.1,98.28809316851132,0.0,0.0,65.88949203491211,,,,,,,,,,,,,,,,,,,,,48.106187688545305,31.12365984154334,97.23169845381834,2.1009392147199786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,748.0,17.0,39.0,748.0,0.1,160.12712744087685,0.0,0.0,69.75480222702026,,,,,,,,,,,,,,,,,,,,,79.03294644866985,48.688100705519844,157.35940397793055,2.1364125838728034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,840.0,18.0,92.0,840.0,0.1,359.00723409846853,0.0,0.0,78.69057965278625,,,,,,,,,,,,,,,,,,,,,173.78296913810271,101.50097458166876,343.70626977103535,2.209252433914436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,874.0,19.0,34.0,874.0,0.1,142.19590861610843,0.0,0.0,82.10047912597656,,,,,,,,,,,,,,,,,,,,,72.97655831215693,42.06725761721812,139.99455474843722,4.106458313826756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,930.0,20.0,56.0,930.0,0.1,238.4415747668388,0.0,0.0,87.76388883590698,,,,,,,,,,,,,,,,,,,,,117.377108104284,68.96425768618437,232.33289016042966,4.116029760302478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,43.0,1.0,43.0,973.0,0.1,180.37807364464132,0.0,0.0,242.52242374420166,,,,,,,,,,,,,,,,,,,,,89.90258585398658,53.67275898443703,176.8658172215457,4.110576322152031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,68.0,2.0,25.0,998.0,0.1,89.24272144667147,0.0,0.0,245.16548538208008,,,,,,,,,,,,,,,,,,,,,45.66749923114487,27.00102755485006,88.27750068977174,4.104195586531418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,102.0,3.0,34.0,1032.0,0.1,145.2790196942629,0.0,0.0,248.57799863815308,,,,,,,,,,,,,,,,,,,,,71.5463388191351,44.108834600619396,143.13256617419452,4.0808237064370845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,125.0,4.0,23.0,1055.0,0.1,89.82942151434042,0.0,0.0,250.97054386138916,,,,,,,,,,,,,,,,,,,,,45.46892379042644,28.31451223564623,88.96147024618273,4.106164719511462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,174.0,5.0,49.0,1104.0,0.1,177.48276200359876,0.0,0.0,256.08019614219666,,,,,,,,,,,,,,,,,,,,,82.6705870586844,53.83679957750235,173.77928803450413,2.2013872501591916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,246.0,6.0,72.0,1176.0,0.1,291.42625762516127,0.0,0.0,263.2087380886078,,,,,,,,,,,,,,,,,,,,,140.62379663469684,84.13614315774294,281.86479198664443,2.1390857733472415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,302.0,7.0,56.0,1232.0,0.1,233.42444944637577,0.0,0.0,268.8293981552124,,,,,,,,,,,,,,,,,,,,,109.626748110881,70.13797067796655,227.74060502160467,2.1134274743183217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,349.0,8.0,47.0,1279.0,0.1,185.06822667120025,0.0,0.0,273.60156440734863,,,,,,,,,,,,,,,,,,,,,91.19716082385666,53.60240701325616,181.14406710261713,4.078625793051376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,380.0,9.0,31.0,1310.0,0.1,121.6639283312207,0.0,0.0,276.9504885673523,,,,,,,,,,,,,,,,,,,,,60.93201199858835,37.00894413506345,120.01494583599064,2.1247457011151565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,422.0,10.0,42.0,1352.0,0.1,168.86630466282656,0.0,0.0,281.32529735565186,,,,,,,,,,,,,,,,,,,,,84.10811626769426,51.1635604548247,165.6649279705966,2.1013414158287467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,461.0,11.0,39.0,1391.0,0.1,160.94721132874645,0.0,0.0,285.4025673866272,,,,,,,,,,,,,,,,,,,,,77.67244216706176,49.39165521907322,158.23429644282032,2.155557839271495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,501.0,12.0,40.0,1431.0,0.1,154.58694551165988,0.0,0.0,289.50329875946045,,,,,,,,,,,,,,,,,,,,,72.72850079056556,47.55339807240596,151.98161673188432,2.061330911760068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,526.0,13.0,25.0,1456.0,0.1,103.71952583281545,0.0,0.0,292.39882707595825,,,,,,,,,,,,,,,,,,,,,51.43303242489638,32.7783673520595,102.63887513358507,4.100999829089536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,559.0,14.0,33.0,1489.0,0.1,128.70014924914562,0.0,0.0,295.8705279827118,,,,,,,,,,,,,,,,,,,,,61.06076222968503,39.16792021580167,126.93889494656418,2.0836415397904515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,596.0,15.0,37.0,1526.0,0.1,130.49614307589962,0.0,0.0,299.9314658641815,,,,,,,,,,,,,,,,,,,,,60.391963884212664,40.07141940504983,128.51854899161802,2.1498043311385597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,627.0,16.0,31.0,1557.0,0.1,129.84173182057862,0.0,0.0,303.25255942344666,,,,,,,,,,,,,,,,,,,,,62.76292507777778,39.124409032080045,128.15225750592182,4.12572324504316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
