Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,36.0,1.0,36.0,36.0,0.1,910.4681731735642,910.4681731735642,0.0,0.013672828674316406,,,,,,,,,,,,,,,,,,,,,315.814595325532,334.5322360190262,901.8015478826508,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,71.0,2.0,35.0,71.0,0.1,799.2064460048754,799.2064460048754,0.0,4.011785507202148,,,,,,,,,,,,,,,,,,,,,284.3221934166038,300.85441545757516,791.6276781784226,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,119.0,3.0,48.0,119.0,0.1,1547.8462367109316,1547.8462367109316,0.0,9.371454000473022,,,,,,,,,,,,,,,,,,,,,736.1825858654282,563.5128305985246,1517.056091211809,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,155.0,4.0,36.0,155.0,0.1,602.1241368194839,602.1241368194839,0.0,13.399110317230225,,,,,,,,,,,,,,,,,,,,,207.66206030379354,223.92181896125493,596.4358214017241,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,192.0,5.0,37.0,192.0,0.1,847.333391041584,847.333391041584,0.0,17.489441633224487,,,,,,,,,,,,,,,,,,,,,295.5854132134072,312.84234012312817,838.9109477018615,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,243.0,6.0,51.0,243.0,0.1,1605.2511977860195,1605.2511977860195,0.0,22.977976322174072,,,,,,,,,,,,,,,,,,,,,547.9144666953752,587.7467291752536,1582.0489623066378,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,307.0,7.0,64.0,307.0,0.1,2169.4698224873064,2169.4698224873064,0.0,29.892823696136475,,,,,,,,,,,,,,,,,,,,,837.2966354620344,769.9493721506636,2122.243202818828,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,341.0,8.0,34.0,341.0,0.1,363.2777063966177,363.2777063966177,0.0,33.67611217498779,,,,,,,,,,,,,,,,,,,,,121.41838479402865,140.16604148564295,360.2290882513391,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,370.0,9.0,29.0,370.0,0.1,229.01724992510208,229.01724992510208,0.0,36.87141990661621,,,,,,,,,,,,,,,,,,,,,72.12124283583725,87.37393033236583,227.60787491158067,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,397.0,10.0,27.0,397.0,0.1,286.86117729293227,286.86117729293227,0.0,39.86143612861633,,,,,,,,,,,,,,,,,,,,,87.21561736594575,110.89280427766226,285.36158457839474,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
