Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,29.0,1.0,29.0,29.0,0.1,-3.6468316648752532,-3.6468316648752532,0.0,0.013445854187011719,,,,,,,,,,,,,,,,,,,,,-7.72283803707827,2.1842501665110268,-3.4262956574574392,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,138.0,2.0,109.0,138.0,0.1,16.02402596384357,16.02402596384357,0.0,11.470223188400269,,,,,,,,,,,,,,,,,,,,,0.7480297121821893,8.445039532401644,15.974423597988077,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,178.0,3.0,40.0,178.0,0.1,-2.433550484574747,-2.433550484574747,0.0,15.916147947311401,,,,,,,,,,,,,,,,,,,,,-6.663633019214174,2.6451528321290962,-2.1691743381443267,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,223.0,4.0,45.0,223.0,0.1,0.44253729367670935,0.44253729367670935,0.0,20.792117595672607,,,,,,,,,,,,,,,,,,,,,-6.097991967086264,3.431536296258353,0.7183829797721604,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,268.0,5.0,45.0,268.0,0.1,1.175916233671014,1.175916233671014,0.0,25.714634656906128,,,,,,,,,,,,,,,,,,,,,-6.280629945141142,3.404937098961474,1.461466051839988,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,326.0,6.0,58.0,326.0,0.1,-4.68044935015264,-4.68044935015264,0.0,31.976446390151978,,,,,,,,,,,,,,,,,,,,,-7.852448786594415,1.7137542677029842,-4.229236557087252,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,396.0,7.0,70.0,396.0,0.1,3.624200204597683,3.624200204597683,0.0,39.57950401306152,,,,,,,,,,,,,,,,,,,,,-0.9480064195416352,3.892106895654665,3.6979528617362103,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,492.0,8.0,96.0,492.0,0.1,1.0704615168191562,1.0704615168191562,0.0,49.65431761741638,,,,,,,,,,,,,,,,,,,,,-3.3354752785131967,3.816077427174866,1.3934526554145918,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,576.0,9.0,84.0,576.0,0.1,3.1540061968921247,3.1540061968921247,0.0,58.87310218811035,,,,,,,,,,,,,,,,,,,,,-4.949712189607543,4.130326476694184,3.5769323085038582,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,607.0,10.0,31.0,607.0,0.1,-8.08230008904097,-8.08230008904097,0.0,62.24626898765564,,,,,,,,,,,,,,,,,,,,,-8.88918109120868,0.591225527219292,-7.8145500252387405,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
