Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,41.0,1.0,41.0,41.0,0.1,8.60526902454905,8.60526902454905,0.0,0.01304173469543457,,,,,,,,,,,,,,,,,,,,,2.8491797821416034,2.829662704921839,8.505455058142477,0.04782972351093596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,219.0,2.0,178.0,219.0,0.1,44.00253533058782,44.00253533058782,0.0,18.462976694107056,,,,,,,,,,,,,,,,,,,,,17.538246187118094,11.995749710049974,40.96261177020945,0.18666047659633625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,259.0,3.0,40.0,259.0,0.1,3.9983099334839305,3.9983099334839305,0.0,23.1679368019104,,,,,,,,,,,,,,,,,,,,,1.398585634785269,1.2124943238290204,3.9502630839974304,0.04857642424266869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,348.0,4.0,89.0,348.0,0.1,23.966127873160506,23.966127873160506,0.0,32.57084798812866,,,,,,,,,,,,,,,,,,,,,9.710543191562222,7.558425213398653,23.148162706361468,0.02610876453582824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,407.0,5.0,59.0,407.0,0.1,19.606637495253928,19.606637495253928,0.0,38.639546632766724,,,,,,,,,,,,,,,,,,,,,8.002395100569606,6.29594160724823,19.17282265681128,0.14559390075876724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,461.0,6.0,54.0,461.0,0.1,6.483368696711737,6.483368696711737,0.0,44.650511741638184,,,,,,,,,,,,,,,,,,,,,2.1996316469654285,2.1067769847135818,6.377336884207133,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,505.0,7.0,44.0,505.0,0.1,4.269714732177402,4.269714732177402,0.0,50.29146766662598,,,,,,,,,,,,,,,,,,,,,1.5730095029929716,1.424505374378919,4.2089159370037805,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,545.0,8.0,40.0,545.0,0.1,2.194750969280965,2.194750969280965,0.0,54.559457302093506,,,,,,,,,,,,,,,,,,,,,0.7456840505935463,0.6539173223048012,2.169259957913092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,595.0,9.0,50.0,595.0,0.1,8.01590246401099,8.01590246401099,0.0,59.940314531326294,,,,,,,,,,,,,,,,,,,,,3.3981232438071283,2.5855266014563782,7.861711863836445,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,625.0,10.0,30.0,625.0,0.1,1.4836469368008114,1.4836469368008114,0.0,63.24020075798035,,,,,,,,,,,,,,,,,,,,,0.8309112951062917,0.4195253278455228,1.4616414191444929,0.027999507377863515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
