Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,47.0,1.0,47.0,47.0,0.1,13.817251125083088,13.817251125083088,0.0,0.013743400573730469,,,,,,,,,,,,,,,,,,,,,5.199337858203666,4.684011280370446,13.60006878324522,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,123.0,2.0,76.0,123.0,0.1,30.2648593198995,30.2648593198995,0.0,8.378172874450684,,,,,,,,,,,,,,,,,,,,,13.968447171771423,8.987041380789572,29.261751576245796,0.20508215561441073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,209.0,3.0,86.0,209.0,0.1,34.94170987655238,34.94170987655238,0.0,17.564383506774902,,,,,,,,,,,,,,,,,,,,,16.6685910903569,10.446396024791094,33.575328123700956,0.1494868631247041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,258.0,4.0,49.0,258.0,0.1,13.747008934129445,13.747008934129445,0.0,22.80437445640564,,,,,,,,,,,,,,,,,,,,,5.407745479969636,4.557769156798024,13.509033964505983,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,366.0,5.0,108.0,366.0,0.1,28.400728719427125,28.400728719427125,0.0,34.32908034324646,,,,,,,,,,,,,,,,,,,,,10.930699044305353,9.109991197449421,27.274735418744225,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,422.0,6.0,56.0,422.0,0.1,5.243614226026611,5.243614226026611,0.0,40.30988025665283,,,,,,,,,,,,,,,,,,,,,1.637955258833029,1.513092962981141,5.162207985294565,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,501.0,7.0,79.0,501.0,0.1,8.499180280166314,8.499180280166314,0.0,48.91309118270874,,,,,,,,,,,,,,,,,,,,,2.8439592451915994,2.593530705774285,8.291081371457718,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,538.0,8.0,37.0,538.0,0.1,2.136673284824198,2.136673284824198,0.0,53.0737521648407,,,,,,,,,,,,,,,,,,,,,0.6775614639481361,0.666004576113389,2.115833060946951,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,618.0,9.0,80.0,618.0,0.1,21.66127372223607,21.66127372223607,0.0,61.66345262527466,,,,,,,,,,,,,,,,,,,,,10.8663146840328,6.5301701049731875,20.833614943786095,0.21197060958290947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,642.0,10.0,24.0,642.0,0.1,6.746970244760893,6.746970244760893,0.0,64.43201732635498,,,,,,,,,,,,,,,,,,,,,3.3837985715475063,1.942814087702427,6.679110621175482,0.22599750986765527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
