Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,36.0,1.0,36.0,36.0,0.1,0.0,0.0,0.0,0.019027233123779297,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,223.0,2.0,187.0,223.0,0.1,223.0,223.0,0.0,22.723766088485718,,,,,,,,,,,,,,,,,,,,,126.31415415902134,60.57545545238944,208.35238825603284,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,288.0,3.0,65.0,288.0,0.1,55.0,55.0,0.0,30.552242040634155,,,,,,,,,,,,,,,,,,,,,37.2511126465577,24.840887351448156,55.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,356.0,4.0,68.0,356.0,0.1,55.0,55.0,0.0,39.08603096008301,,,,,,,,,,,,,,,,,,,,,35.607681206268396,25.463008554963313,55.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,455.0,5.0,99.0,455.0,0.1,114.0,114.0,0.0,51.47267484664917,,,,,,,,,,,,,,,,,,,,,75.391084056389,37.192060486596816,111.6656485033879,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,490.0,6.0,35.0,490.0,0.1,0.0,0.0,0.0,55.92640280723572,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,528.0,7.0,38.0,528.0,0.1,0.0,0.0,0.0,60.87452006340027,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,551.0,8.0,23.0,551.0,0.1,0.0,0.0,0.0,64.15661931037903,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,592.0,9.0,41.0,592.0,0.1,0.0,0.0,0.0,69.35768103599548,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,630.0,10.0,38.0,630.0,0.1,0.0,0.0,0.0,74.42651033401489,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,665.0,11.0,35.0,665.0,0.1,0.0,0.0,0.0,78.80335307121277,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,694.0,12.0,29.0,694.0,0.1,0.0,0.0,0.0,82.62527656555176,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,770.0,13.0,76.0,770.0,0.1,56.0,56.0,0.0,92.05150508880615,,,,,,,,,,,,,,,,,,,,,31.73365950483259,27.067742334385578,56.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,808.0,14.0,38.0,808.0,0.1,0.0,0.0,0.0,96.90596580505371,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,853.0,15.0,45.0,853.0,0.1,0.0,0.0,0.0,102.75914692878723,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,900.0,16.0,47.0,900.0,0.1,0.0,0.0,0.0,108.83119130134583,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,936.0,17.0,36.0,936.0,0.1,0.0,0.0,0.0,113.41467475891113,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1045.0,18.0,109.0,1045.0,0.1,119.0,119.0,0.0,126.82129335403442,,,,,,,,,,,,,,,,,,,,,65.46042176409738,45.08008298756115,116.6656485033879,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1076.0,19.0,31.0,1076.0,0.1,0.0,0.0,0.0,131.1907298564911,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1108.0,20.0,32.0,1108.0,0.1,0.0,0.0,0.0,135.56744170188904,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,46.0,1.0,46.0,1154.0,0.1,0.0,0.0,0.0,204.15756177902222,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,76.0,2.0,30.0,1184.0,0.1,0.0,0.0,0.0,208.21864485740662,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,139.0,3.0,63.0,1247.0,0.1,55.0,55.0,0.0,216.10419130325317,,,,,,,,,,,,,,,,,,,,,38.43368765121033,24.3147790416672,55.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
