Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,53.0,1.0,53.0,53.0,0.1,24.0,24.0,0.0,0.020017623901367188,,,,,,,,,,,,,,,,,,,,,12.050919491004224,9.57994168258295,23.785826244617407,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,98.0,2.0,45.0,98.0,0.1,11.0,11.0,0.0,5.04385781288147,,,,,,,,,,,,,,,,,,,,,4.602880366480225,5.384567761616917,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,130.0,3.0,32.0,130.0,0.1,8.0,8.0,0.0,8.632446050643921,,,,,,,,,,,,,,,,,,,,,5.442633177814889,3.669659077702328,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,162.0,4.0,32.0,162.0,0.1,10.0,10.0,0.0,12.159701585769653,,,,,,,,,,,,,,,,,,,,,6.190979740770413,4.795725094219783,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,248.0,5.0,86.0,248.0,0.1,50.0,50.0,0.0,21.1627357006073,,,,,,,,,,,,,,,,,,,,,25.111655267551455,17.442974133237126,48.75851885713394,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,294.0,6.0,46.0,294.0,0.1,11.0,11.0,0.0,26.212990283966064,,,,,,,,,,,,,,,,,,,,,4.502817749817611,5.367852336483623,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,324.0,7.0,30.0,324.0,0.1,9.0,9.0,0.0,29.503893852233887,,,,,,,,,,,,,,,,,,,,,6.237397210588455,4.083584756976968,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,354.0,8.0,30.0,354.0,0.1,6.0,6.0,0.0,32.9650022983551,,,,,,,,,,,,,,,,,,,,,4.745202683273949,2.3728858241670823,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,395.0,9.0,41.0,395.0,0.1,9.0,9.0,0.0,37.508708477020264,,,,,,,,,,,,,,,,,,,,,4.5639491784793575,4.454125893959058,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,423.0,10.0,28.0,423.0,0.1,0.0,0.0,0.0,40.588332653045654,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,493.0,11.0,70.0,493.0,0.1,41.0,41.0,0.0,48.157801389694214,,,,,,,,,,,,,,,,,,,,,22.095063857805997,15.763285322851262,40.21050799355706,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,523.0,12.0,30.0,523.0,0.1,7.0,7.0,0.0,51.44028639793396,,,,,,,,,,,,,,,,,,,,,5.308044508327936,2.9286039399582697,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,568.0,13.0,45.0,568.0,0.1,10.0,10.0,0.0,56.51632356643677,,,,,,,,,,,,,,,,,,,,,4.402474482325626,4.922263544391196,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,651.0,14.0,83.0,651.0,0.1,51.0,51.0,0.0,65.2434298992157,,,,,,,,,,,,,,,,,,,,,31.06880936817941,18.244790229849666,49.39995806916465,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,680.0,15.0,29.0,680.0,0.1,0.0,0.0,0.0,68.41299295425415,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,741.0,16.0,61.0,741.0,0.1,10.0,10.0,0.0,74.96404719352722,,,,,,,,,,,,,,,,,,,,,3.2477270771254623,4.650152645725748,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,797.0,17.0,56.0,797.0,0.1,23.0,23.0,0.0,81.10593938827515,,,,,,,,,,,,,,,,,,,,,11.974169799218311,9.432737479909601,22.78075919085972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,896.0,18.0,99.0,896.0,0.1,45.0,45.0,0.0,91.56294870376587,,,,,,,,,,,,,,,,,,,,,23.676613163353817,16.96806342850657,43.605326483420434,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,941.0,19.0,45.0,941.0,0.1,11.0,11.0,0.0,96.47529077529907,,,,,,,,,,,,,,,,,,,,,4.602880366480225,5.384567761616917,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,979.0,20.0,38.0,979.0,0.1,10.0,10.0,0.0,100.70867490768433,,,,,,,,,,,,,,,,,,,,,5.213456623806663,4.946092981660462,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,57.0,1.0,57.0,1036.0,0.1,24.0,24.0,0.0,159.80688977241516,,,,,,,,,,,,,,,,,,,,,11.205240930231998,9.737091144329362,23.785826244617407,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,103.0,2.0,46.0,1082.0,0.1,23.0,23.0,0.0,164.68210363388062,,,,,,,,,,,,,,,,,,,,,14.577250190352725,8.388891913383986,22.78075919085972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,143.0,3.0,40.0,1122.0,0.1,10.0,10.0,0.0,169.1494882106781,,,,,,,,,,,,,,,,,,,,,4.95278379261633,4.952948633648871,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,178.0,4.0,35.0,1157.0,0.1,10.0,10.0,0.0,172.96529030799866,,,,,,,,,,,,,,,,,,,,,5.660324334418663,4.902175008766928,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,269.0,5.0,91.0,1248.0,0.1,54.0,54.0,0.0,182.54634261131287,,,,,,,,,,,,,,,,,,,,,29.460781459489056,17.389645740809314,52.30395045062598,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,314.0,6.0,45.0,1293.0,0.1,26.0,26.0,0.0,187.64550232887268,,,,,,,,,,,,,,,,,,,,,14.533888930048832,9.935449721866757,25.78075919085972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,406.0,7.0,92.0,1385.0,0.1,67.0,67.0,0.0,197.12647795677185,,,,,,,,,,,,,,,,,,,,,36.73653543963678,21.543057044030622,64.84119620341437,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,458.0,8.0,52.0,1437.0,0.1,22.0,22.0,0.0,202.933580160141,,,,,,,,,,,,,,,,,,,,,12.418763536826535,8.596746265929394,21.785826244617407,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,534.0,9.0,76.0,1513.0,0.1,42.0,42.0,0.0,210.69220113754272,,,,,,,,,,,,,,,,,,,,,19.519158000539583,17.04027557293856,41.33544610201754,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,566.0,10.0,32.0,1545.0,0.1,10.0,10.0,0.0,214.15937304496765,,,,,,,,,,,,,,,,,,,,,6.190979740770413,4.795725094219783,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,603.0,11.0,37.0,1582.0,0.1,10.0,10.0,0.0,218.21952772140503,,,,,,,,,,,,,,,,,,,,,5.354360856882519,4.936655590982482,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,707.0,12.0,104.0,1686.0,0.1,62.0,62.0,0.0,229.4123752117157,,,,,,,,,,,,,,,,,,,,,35.76886231932604,20.795250341238116,59.57706271138916,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,743.0,13.0,36.0,1722.0,0.1,10.0,10.0,0.0,233.50890612602234,,,,,,,,,,,,,,,,,,,,,5.503093102907034,4.922300403337918,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,805.0,14.0,62.0,1784.0,0.1,12.0,12.0,0.0,240.18930053710938,,,,,,,,,,,,,,,,,,,,,3.4544154093966712,5.400984015780977,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,839.0,15.0,34.0,1818.0,0.1,10.0,10.0,0.0,244.03556942939758,,,,,,,,,,,,,,,,,,,,,5.826804461901565,4.875251397718968,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,874.0,16.0,35.0,1853.0,0.1,10.0,10.0,0.0,247.93866157531738,,,,,,,,,,,,,,,,,,,,,5.660324334418663,4.902175008766928,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,928.0,17.0,54.0,1907.0,0.1,21.0,21.0,0.0,253.72024846076965,,,,,,,,,,,,,,,,,,,,,11.969233410662408,8.284539006338061,20.785826244617407,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1082.0,18.0,154.0,2061.0,0.1,105.0,105.0,0.0,269.74598455429077,,,,,,,,,,,,,,,,,,,,,50.82002064315095,33.5699088701683,99.03861040190093,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1112.0,19.0,30.0,2091.0,0.1,11.0,11.0,0.0,272.99067640304565,,,,,,,,,,,,,,,,,,,,,6.904320549720337,5.2536153473650415,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1154.0,20.0,42.0,2133.0,0.1,9.0,9.0,0.0,277.45459246635437,,,,,,,,,,,,,,,,,,,,,4.455283721848896,4.455447241542074,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
