Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,29.0,1.0,29.0,29.0,0.1,11.0,11.0,0.0,0.0182340145111084,,,,,,,,,,,,,,,,,,,,,7.14240056867621,5.181867602087772,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,79.0,2.0,50.0,79.0,0.1,20.0,20.0,0.0,5.712121248245239,,,,,,,,,,,,,,,,,,,,,12.898434657206694,7.299442512982458,19.785826244617407,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,106.0,3.0,27.0,106.0,0.1,9.0,9.0,0.0,8.871512651443481,,,,,,,,,,,,,,,,,,,,,6.930441345098283,3.7047826321014283,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,154.0,4.0,48.0,154.0,0.1,22.0,22.0,0.0,14.1168851852417,,,,,,,,,,,,,,,,,,,,,13.453660498228748,8.132623471025898,21.785826244617407,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,189.0,5.0,35.0,189.0,0.1,7.0,7.0,0.0,18.36821484565735,,,,,,,,,,,,,,,,,,,,,4.549752435709659,3.286566046661012,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,316.0,6.0,127.0,316.0,0.1,69.0,69.0,0.0,31.965590953826904,,,,,,,,,,,,,,,,,,,,,34.14161425552148,22.014383523461067,65.90500391554004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,377.0,7.0,61.0,377.0,0.1,23.0,23.0,0.0,38.89935636520386,,,,,,,,,,,,,,,,,,,,,11.791636516701862,9.936825745474868,22.77656819543003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,413.0,8.0,36.0,413.0,0.1,11.0,11.0,0.0,42.9338173866272,,,,,,,,,,,,,,,,,,,,,5.753600458100281,5.442534228465167,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,458.0,9.0,45.0,458.0,0.1,9.0,9.0,0.0,48.40747261047363,,,,,,,,,,,,,,,,,,,,,4.15826480705897,4.445525024983628,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,490.0,10.0,32.0,490.0,0.1,4.0,4.0,0.0,52.05898427963257,,,,,,,,,,,,,,,,,,,,,3.209698139443803,1.5421206068725175,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
