Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,33.0,1.0,33.0,33.0,0.1,8.0,8.0,0.0,0.016695737838745117,,,,,,,,,,,,,,,,,,,,,5.277704899699287,3.7321264540588683,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,67.0,2.0,34.0,67.0,0.1,12.0,12.0,0.0,4.9087748527526855,,,,,,,,,,,,,,,,,,,,,6.299228099488047,5.939139222152656,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,108.0,3.0,41.0,108.0,0.1,10.0,10.0,0.0,10.431406259536743,,,,,,,,,,,,,,,,,,,,,4.831984187918371,4.951471275988902,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,246.0,4.0,138.0,246.0,0.1,88.25416666666666,88.25416666666666,0.0,28.735251426696777,,,,,,,,,,,,,,,,,,,,,45.52328793165407,28.661518188305806,83.46155922962302,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,343.0,5.0,97.0,343.0,0.1,70.91666666666666,70.91666666666666,0.0,41.7509868144989,,,,,,,,,,,,,,,,,,,,,38.91531470661771,24.51090126809788,68.49892255387073,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,377.0,6.0,34.0,377.0,0.1,13.0,13.0,0.0,46.99541091918945,,,,,,,,,,,,,,,,,,,,,6.448259092361276,6.448414002856532,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,417.0,7.0,40.0,417.0,0.1,11.0,11.0,0.0,52.59316635131836,,,,,,,,,,,,,,,,,,,,,5.178240412290252,5.444117337644744,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,444.0,8.0,27.0,444.0,0.1,0.0,0.0,0.0,56.41777420043945,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,497.0,9.0,53.0,497.0,0.1,26.0,26.0,0.0,63.53545427322388,,,,,,,,,,,,,,,,,,,,,12.340094374569762,10.530180113780544,25.78075919085972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,525.0,10.0,28.0,525.0,0.1,0.0,0.0,0.0,67.55939531326294,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,592.0,11.0,67.0,592.0,0.1,44.0,44.0,0.0,76.77569532394409,,,,,,,,,,,,,,,,,,,,,23.83184818697343,18.26261474137745,43.2170415572598,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,621.0,12.0,29.0,621.0,0.1,9.0,9.0,0.0,80.83536672592163,,,,,,,,,,,,,,,,,,,,,6.452479873022539,3.9828219681140755,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,657.0,13.0,36.0,657.0,0.1,12.0,12.0,0.0,85.94864892959595,,,,,,,,,,,,,,,,,,,,,5.949270982849822,5.949431274633368,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,712.0,14.0,55.0,712.0,0.1,23.5,23.5,0.0,93.54503846168518,,,,,,,,,,,,,,,,,,,,,11.806238815768484,9.601056027555513,23.289191529672806,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,746.0,15.0,34.0,746.0,0.1,10.0,10.0,0.0,98.31909465789795,,,,,,,,,,,,,,,,,,,,,5.826804461901565,4.875251397718968,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,892.0,16.0,146.0,892.0,0.1,87.71666666666667,87.71666666666667,0.0,117.60213351249695,,,,,,,,,,,,,,,,,,,,,43.20450778561223,28.87425320266781,83.05420664427274,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,962.0,17.0,70.0,962.0,0.1,34.0,34.0,0.0,127.11822986602783,,,,,,,,,,,,,,,,,,,,,17.449433972740522,12.170894941915504,33.407603633592686,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,998.0,18.0,36.0,998.0,0.1,8.0,8.0,0.0,132.09967923164368,,,,,,,,,,,,,,,,,,,,,4.837896158057679,3.859505957346998,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1034.0,19.0,36.0,1034.0,0.1,9.0,9.0,0.0,137.0428032875061,,,,,,,,,,,,,,,,,,,,,5.197831008823712,4.393162470867284,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1065.0,20.0,31.0,1065.0,0.1,11.0,11.0,0.0,141.62380957603455,,,,,,,,,,,,,,,,,,,,,6.6816005319874225,5.310203624065253,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,27.0,1.0,27.0,1092.0,0.1,0.0,0.0,0.0,213.6611568927765,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,96.0,2.0,69.0,1161.0,0.1,37.0,37.0,0.0,222.9804289340973,,,,,,,,,,,,,,,,,,,,,19.32951978105337,13.660499810580022,36.35074642290367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,127.0,3.0,31.0,1192.0,0.1,11.0,11.0,0.0,227.46979427337646,,,,,,,,,,,,,,,,,,,,,6.6816005319874225,5.310203624065253,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,221.0,4.0,94.0,1286.0,0.1,50.5,50.5,0.0,239.68744468688965,,,,,,,,,,,,,,,,,,,,,23.242367159269932,18.677293984034197,49.29174286776984,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,257.0,5.0,36.0,1322.0,0.1,8.0,8.0,0.0,244.65320467948914,,,,,,,,,,,,,,,,,,,,,4.837896158057679,3.859505957346998,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,293.0,6.0,36.0,1358.0,0.1,9.0,9.0,0.0,250.00504088401794,,,,,,,,,,,,,,,,,,,,,5.197831008823712,4.393162470867284,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,340.0,7.0,47.0,1405.0,0.1,8.0,8.0,0.0,256.3066096305847,,,,,,,,,,,,,,,,,,,,,3.7056225891505625,3.9503565543695904,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,382.0,8.0,42.0,1447.0,0.1,11.0,11.0,0.0,262.0191910266876,,,,,,,,,,,,,,,,,,,,,4.9316575355145265,5.426151754283794,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,430.0,9.0,48.0,1495.0,0.1,25.0,25.0,0.0,268.9895906448364,,,,,,,,,,,,,,,,,,,,,14.069973898009179,10.06946576134944,24.791463649068028,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,460.0,10.0,30.0,1525.0,0.1,0.0,0.0,0.0,273.37812972068787,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,522.0,11.0,62.0,1587.0,0.1,23.0,23.0,0.0,281.75058698654175,,,,,,,,,,,,,,,,,,,,,10.613119529279615,9.735369475402651,22.79355274360332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,551.0,12.0,29.0,1616.0,0.1,0.0,0.0,0.0,285.99788904190063,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,585.0,13.0,34.0,1650.0,0.1,10.0,10.0,0.0,290.8834276199341,,,,,,,,,,,,,,,,,,,,,5.826804461901565,4.875251397718968,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,654.0,14.0,69.0,1719.0,0.1,35.0,35.0,0.0,300.13598918914795,,,,,,,,,,,,,,,,,,,,,19.678524243975527,12.969954566829358,34.35649892911927,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,683.0,15.0,29.0,1748.0,0.1,0.0,0.0,0.0,304.1473984718323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,731.0,16.0,48.0,1796.0,0.1,20.75,20.75,0.0,310.7574815750122,,,,,,,,,,,,,,,,,,,,,12.697770164810052,7.5042161601593635,20.54757787479229,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,770.0,17.0,39.0,1835.0,0.1,8.0,8.0,0.0,316.3242394924164,,,,,,,,,,,,,,,,,,,,,4.46575029974555,3.9257950790552507,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,840.0,18.0,70.0,1905.0,0.1,37.0,37.0,0.0,326.0995662212372,,,,,,,,,,,,,,,,,,,,,19.053383784181182,13.75517116210557,36.35074642290367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,875.0,19.0,35.0,1940.0,0.1,8.0,8.0,0.0,331.0699553489685,,,,,,,,,,,,,,,,,,,,,4.976121762573612,3.8253826852281207,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,909.0,20.0,34.0,1974.0,0.1,8.0,8.0,0.0,335.77467942237854,,,,,,,,,,,,,,,,,,,,,5.1224782850022486,3.783416866923019,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,54.0,1.0,54.0,2028.0,0.1,25.5,25.5,0.0,553.7293157577515,,,,,,,,,,,,,,,,,,,,,12.32741513046233,10.524759185475316,25.28561246451114,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,91.0,2.0,37.0,2065.0,0.1,10.0,10.0,0.0,559.0016949176788,,,,,,,,,,,,,,,,,,,,,5.354360856882519,4.936655590982482,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,136.0,3.0,45.0,2110.0,0.1,28.0,28.0,0.0,565.2086672782898,,,,,,,,,,,,,,,,,,,,,14.74339453217032,11.025307289751906,27.77767218541896,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,164.0,4.0,28.0,2138.0,0.1,12.0,12.0,0.0,569.0969586372375,,,,,,,,,,,,,,,,,,,,,7.6490626922354865,5.701489767501114,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,253.0,5.0,89.0,2227.0,0.1,51.75,51.75,0.0,581.2852871417999,,,,,,,,,,,,,,,,,,,,,26.664957903941424,18.0233798853817,50.324425932324004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,296.0,6.0,43.0,2270.0,0.1,11.0,11.0,0.0,587.024162530899,,,,,,,,,,,,,,,,,,,,,4.816967825386282,5.4139501028965755,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,366.0,7.0,70.0,2340.0,0.1,37.125,37.125,0.0,596.108785867691,,,,,,,,,,,,,,,,,,,,,18.797010476691398,13.876000728739795,36.496435881860734,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,417.0,8.0,51.0,2391.0,0.1,27.0,27.0,0.0,603.2312068939209,,,,,,,,,,,,,,,,,,,,,13.466816058621394,11.344051074868272,26.791359554985014,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,453.0,9.0,36.0,2427.0,0.1,9.0,9.0,0.0,608.4714910984039,,,,,,,,,,,,,,,,,,,,,5.197831008823712,4.393162470867284,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,482.0,10.0,29.0,2456.0,0.1,0.0,0.0,0.0,612.753048658371,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,547.0,11.0,65.0,2521.0,0.1,31.0,31.0,0.0,621.4626271724701,,,,,,,,,,,,,,,,,,,,,16.712633356823158,10.439800833990459,30.487762333610874,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,572.0,12.0,25.0,2546.0,0.1,0.0,0.0,0.0,625.020495891571,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,601.0,13.0,29.0,2575.0,0.1,9.0,9.0,0.0,629.3913831710815,,,,,,,,,,,,,,,,,,,,,6.452479873022539,3.9828219681140755,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,651.0,14.0,50.0,2625.0,0.1,25.5,25.5,0.0,636.0961697101593,,,,,,,,,,,,,,,,,,,,,13.313608340899316,10.320000495785584,25.28561246451114,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,683.0,15.0,32.0,2657.0,0.1,0.0,0.0,0.0,640.8979609012604,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,741.0,16.0,58.0,2715.0,0.1,23.75,23.75,0.0,648.8534169197083,,,,,,,,,,,,,,,,,,,,,11.573609999070982,10.091862230558647,23.54518751247753,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,794.0,17.0,53.0,2768.0,0.1,21.75,21.75,0.0,655.9949054718018,,,,,,,,,,,,,,,,,,,,,12.273182024001514,8.834615140641027,21.547522883149412,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,890.0,18.0,96.0,2864.0,0.1,63.729166666666664,63.729166666666664,0.0,668.567920923233,,,,,,,,,,,,,,,,,,,,,33.06977817192162,20.35708329464162,61.65487259561538,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,971.0,19.0,81.0,2945.0,0.1,62.91666666666667,62.91666666666667,0.0,679.1571047306061,,,,,,,,,,,,,,,,,,,,,33.82461239597195,23.51142017283278,61.270415986397985,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,999.0,20.0,28.0,2973.0,0.1,0.0,0.0,0.0,683.1319534778595,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,91.0,1.0,91.0,3064.0,0.1,53.291666666666664,53.291666666666664,0.0,824.4805042743683,,,,,,,,,,,,,,,,,,,,,23.9795415032382,19.406212532787414,52.038298202348344,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,132.0,2.0,41.0,3105.0,0.1,11.0,11.0,0.0,830.2652208805084,,,,,,,,,,,,,,,,,,,,,5.051941865649027,5.436320296408827,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,205.0,3.0,73.0,3178.0,0.1,37.125,37.125,0.0,840.0800952911377,,,,,,,,,,,,,,,,,,,,,18.024530594087643,14.09092761995182,36.496435881860734,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,231.0,4.0,26.0,3204.0,0.1,13.0,13.0,0.0,843.9966189861298,,,,,,,,,,,,,,,,,,,,,8.432338813087823,6.135640596626077,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,373.0,5.0,142.0,3346.0,0.1,112.86011904761907,112.86011904761907,0.0,862.4664084911346,,,,,,,,,,,,,,,,,,,,,56.97755442449965,36.590723183328116,106.67318945129195,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,416.0,6.0,43.0,3389.0,0.1,22.5,22.5,0.0,868.2998642921448,,,,,,,,,,,,,,,,,,,,,14.090234036433243,7.503549850506376,22.291983080710114,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,488.0,7.0,72.0,3461.0,0.1,38.125,38.125,0.0,877.9066574573517,,,,,,,,,,,,,,,,,,,,,19.06511770296932,14.906829165243089,37.49513266688439,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,536.0,8.0,48.0,3509.0,0.1,26.25,26.25,0.0,884.8549420833588,,,,,,,,,,,,,,,,,,,,,14.103685909143946,10.659506549299246,26.03773978565853,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,573.0,9.0,37.0,3546.0,0.1,10.0,10.0,0.0,890.1808881759644,,,,,,,,,,,,,,,,,,,,,5.354360856882519,4.936655590982482,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
