Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,72.0,1.0,72.0,72.0,0.1,94.0,94.0,0.0,0.013248920440673828,,,,,,,,,,,,,,,,,,,,,47.7190487647665,33.7315205118909,92.30227714960036,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,120.0,2.0,48.0,120.0,0.1,64.0,64.0,0.0,5.367394685745239,,,,,,,,,,,,,,,,,,,,,36.482762660736704,24.769029817732886,63.44346563833621,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,158.0,3.0,38.0,158.0,0.1,29.0,29.0,0.0,9.55874252319336,,,,,,,,,,,,,,,,,,,,,15.867063079567123,14.276744130532913,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,218.0,4.0,60.0,218.0,0.1,63.0,63.0,0.0,16.026446104049683,,,,,,,,,,,,,,,,,,,,,29.111057660637798,25.822328062329344,62.428869985646415,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,281.0,5.0,63.0,281.0,0.1,99.0,99.0,0.0,22.749085187911987,,,,,,,,,,,,,,,,,,,,,51.628967622428725,34.81431481875198,97.38982300890243,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,332.0,6.0,51.0,332.0,0.1,57.0,57.0,0.0,28.235103607177734,,,,,,,,,,,,,,,,,,,,,31.8404015297436,19.709231442649816,56.382442814926165,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,373.0,7.0,41.0,373.0,0.1,62.0,62.0,0.0,32.67889332771301,,,,,,,,,,,,,,,,,,,,,42.443784449113146,18.783788328933582,61.41627108079638,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,436.0,8.0,63.0,436.0,0.1,87.0,87.0,0.0,39.63092589378357,,,,,,,,,,,,,,,,,,,,,53.50346206141683,23.497122186932263,85.23423965112079,26.412195616795994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,487.0,9.0,51.0,487.0,0.1,64.0,64.0,0.0,45.138636350631714,,,,,,,,,,,,,,,,,,,,,35.23832990383814,25.791299966527394,63.46006102173176,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,517.0,10.0,30.0,517.0,0.1,24.0,24.0,0.0,48.63120198249817,,,,,,,,,,,,,,,,,,,,,20.542068092440342,8.058963084985288,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,587.0,11.0,70.0,587.0,0.1,102.0,102.0,0.0,56.11334562301636,,,,,,,,,,,,,,,,,,,,,52.3891623988497,40.54086945085604,100.4206366280448,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,614.0,12.0,27.0,614.0,0.1,24.0,24.0,0.0,59.159040451049805,,,,,,,,,,,,,,,,,,,,,22.824520102711492,4.479657897706813,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,745.0,13.0,131.0,745.0,0.1,231.0,231.0,0.0,73.58146548271179,,,,,,,,,,,,,,,,,,,,,122.06618006692997,69.72525384501532,219.13564700429032,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,866.0,14.0,121.0,866.0,0.1,235.0,235.0,0.0,86.18714785575867,,,,,,,,,,,,,,,,,,,,,123.74326008053268,69.01473071805961,224.24967917070973,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,903.0,15.0,37.0,903.0,0.1,29.0,29.0,0.0,90.25335431098938,,,,,,,,,,,,,,,,,,,,,16.295902622258126,14.224833593255498,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,934.0,16.0,31.0,934.0,0.1,30.0,30.0,0.0,93.69052124023438,,,,,,,,,,,,,,,,,,,,,19.172066293998693,14.219051714674581,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,969.0,17.0,35.0,969.0,0.1,28.0,28.0,0.0,97.49807906150818,,,,,,,,,,,,,,,,,,,,,17.416426169007647,13.38883939829842,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1028.0,18.0,59.0,1028.0,0.1,94.0,94.0,0.0,103.87447452545166,,,,,,,,,,,,,,,,,,,,,54.81193025282929,29.16519449574297,92.41551086657432,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1073.0,19.0,45.0,1073.0,0.1,64.0,64.0,0.0,108.7368733882904,,,,,,,,,,,,,,,,,,,,,38.91494683811915,23.659180938679402,63.44346563833621,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1112.0,20.0,39.0,1112.0,0.1,28.0,28.0,0.0,112.97531533241272,,,,,,,,,,,,,,,,,,,,,15.630126049109426,13.740282776693379,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,50.0,1.0,50.0,1162.0,0.1,66.0,66.0,0.0,175.27736711502075,,,,,,,,,,,,,,,,,,,,,33.204346247880785,26.362494258430484,65.4434656383362,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,79.0,2.0,29.0,1191.0,0.1,28.0,28.0,0.0,178.6238648891449,,,,,,,,,,,,,,,,,,,,,21.019824686733365,11.857769701787307,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,136.0,3.0,57.0,1248.0,0.1,95.0,95.0,0.0,184.66128206253052,,,,,,,,,,,,,,,,,,,,,61.52489502765471,27.40091131869705,93.3422978635197,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,215.0,4.0,79.0,1327.0,0.1,126.0,126.0,0.0,193.13562941551208,,,,,,,,,,,,,,,,,,,,,68.07375992008447,39.21890396110814,122.81413670567377,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,437.0,5.0,222.0,1549.0,0.1,449.0,449.0,0.0,216.84135484695435,,,,,,,,,,,,,,,,,,,,,209.402360862734,135.6446616161406,410.64808051912973,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
