Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,121.0,1.0,121.0,121.0,0.1,178.38030614954133,178.38030614954133,0.0,0.022721052169799805,,,,,,,,,,,,,,,,,,,,,79.51648220283805,49.27604997600193,169.2661024814006,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,152.0,2.0,31.0,152.0,0.1,39.30217080889824,39.30217080889824,0.0,4.362445116043091,,,,,,,,,,,,,,,,,,,,,17.45396919051882,14.911320007459247,38.92284335771179,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,183.0,3.0,31.0,183.0,0.1,38.509392220863916,38.509392220863916,0.0,8.546393871307373,,,,,,,,,,,,,,,,,,,,,17.50202109945575,14.128180814486514,38.08095823669715,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,222.0,4.0,39.0,222.0,0.1,56.738661914040165,56.738661914040165,0.0,13.611825942993164,,,,,,,,,,,,,,,,,,,,,25.036995973572438,20.661673578188115,55.92984086005827,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,251.0,5.0,29.0,251.0,0.1,28.601008117417518,28.601008117417518,0.0,17.50312638282776,,,,,,,,,,,,,,,,,,,,,13.26865253536661,10.666687399388579,28.301035425362723,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,293.0,6.0,42.0,293.0,0.1,59.74282366908916,59.74282366908916,0.0,23.19469928741455,,,,,,,,,,,,,,,,,,,,,24.18490515394679,21.46742113226047,58.90359177607993,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,326.0,7.0,33.0,326.0,0.1,42.90983061183693,42.90983061183693,0.0,27.836305141448975,,,,,,,,,,,,,,,,,,,,,18.785805616794047,15.251992502076908,42.41702288649059,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,372.0,8.0,46.0,372.0,0.1,60.66650897020912,60.66650897020912,0.0,33.89765977859497,,,,,,,,,,,,,,,,,,,,,25.990607756964096,20.94042420958865,59.64971125767776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,454.0,9.0,82.0,454.0,0.1,131.58054262857178,131.58054262857178,0.0,44.096933126449585,,,,,,,,,,,,,,,,,,,,,59.5043088904808,43.02309719993754,127.08205434350181,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,486.0,10.0,32.0,486.0,0.1,38.95237533467455,38.95237533467455,0.0,48.4081027507782,,,,,,,,,,,,,,,,,,,,,15.675083128696505,14.318807996588546,38.56635608230131,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
