Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,40.0,1.0,40.0,40.0,0.1,58.03267248465565,58.03267248465565,0.0,0.01443171501159668,,,,,,,,,,,,,,,,,,,,,25.499625369704837,20.294053351322166,57.18406817938515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,106.0,2.0,66.0,106.0,0.1,105.16475747088424,105.16475747088424,0.0,7.358874797821045,,,,,,,,,,,,,,,,,,,,,46.31454388623666,35.292638771632355,102.41493523771497,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,138.0,3.0,32.0,138.0,0.1,35.64838402853181,35.64838402853181,0.0,10.945984125137329,,,,,,,,,,,,,,,,,,,,,15.952426768808948,13.23226577964387,35.24353127039085,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,165.0,4.0,27.0,165.0,0.1,33.21447590605646,33.21447590605646,0.0,14.1206693649292,,,,,,,,,,,,,,,,,,,,,15.08752386850149,12.329299143504036,32.90573127113223,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,223.0,5.0,58.0,223.0,0.1,93.31951153215454,93.31951153215454,0.0,20.581408262252808,,,,,,,,,,,,,,,,,,,,,41.819311808040474,31.548512054048103,91.16721969588389,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,297.0,6.0,74.0,297.0,0.1,158.26191578126213,158.26191578126213,0.0,28.539766311645508,,,,,,,,,,,,,,,,,,,,,72.49569402050075,52.19007531413649,153.35684504169188,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,337.0,7.0,40.0,337.0,0.1,59.26437844930161,59.26437844930161,0.0,32.968332052230835,,,,,,,,,,,,,,,,,,,,,27.39644209726763,21.002741459665433,58.34337592139072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,366.0,8.0,29.0,366.0,0.1,29.388371634814213,29.388371634814213,0.0,36.288498878479004,,,,,,,,,,,,,,,,,,,,,12.849197630580951,10.987087509720416,29.10296652330065,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,441.0,9.0,75.0,441.0,0.1,119.75490765638676,119.75490765638676,0.0,44.445948362350464,,,,,,,,,,,,,,,,,,,,,53.79591127852752,39.77863951920365,116.06807043365495,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,472.0,10.0,31.0,472.0,0.1,28.02683085256479,28.02683085256479,0.0,48.018922328948975,,,,,,,,,,,,,,,,,,,,,11.100910839154494,10.271405517814905,27.765917097859194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,538.0,11.0,66.0,538.0,0.1,123.80453258346041,123.80453258346041,0.0,55.23001194000244,,,,,,,,,,,,,,,,,,,,,55.725575708764005,43.0769249332782,120.48774648338042,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,620.0,12.0,82.0,620.0,0.1,88.49302066098261,88.49302066098261,0.0,64.17532110214233,,,,,,,,,,,,,,,,,,,,,48.119602812492815,28.212051840875763,84.80136300007068,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,665.0,13.0,45.0,665.0,0.1,74.51522421987472,74.51522421987472,0.0,69.25079393386841,,,,,,,,,,,,,,,,,,,,,33.88036904407402,26.07443626969418,73.21001811037823,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,716.0,14.0,51.0,716.0,0.1,60.1157992105229,60.1157992105229,0.0,74.79154086112976,,,,,,,,,,,,,,,,,,,,,24.219170731300032,21.244532425010696,59.05761724115598,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,765.0,15.0,49.0,765.0,0.1,82.07628335363555,82.07628335363555,0.0,80.10004472732544,,,,,,,,,,,,,,,,,,,,,37.43406870336402,28.76402012768595,80.48322228484157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,824.0,16.0,59.0,824.0,0.1,95.9853049291622,95.9853049291622,0.0,87.02212023735046,,,,,,,,,,,,,,,,,,,,,42.15171657763559,32.57066837242486,93.77941063854482,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,957.0,17.0,133.0,957.0,0.1,169.55311478662873,169.55311478662873,0.0,101.2523124217987,,,,,,,,,,,,,,,,,,,,,59.244503655097674,52.73833359518639,162.15958824864123,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1073.0,18.0,116.0,1073.0,0.1,234.95532348259152,234.95532348259152,0.0,113.74443340301514,,,,,,,,,,,,,,,,,,,,,111.54979906342338,72.48869207193722,222.79572630743786,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1159.0,19.0,86.0,1159.0,0.1,156.97338196813888,156.97338196813888,0.0,123.15461826324463,,,,,,,,,,,,,,,,,,,,,68.38805865914405,53.27242954212695,151.5461930154659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1190.0,20.0,31.0,1190.0,0.1,33.962836860921534,33.962836860921534,0.0,126.66774725914001,,,,,,,,,,,,,,,,,,,,,14.369004159852983,12.856630234954228,33.618151365225835,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,46.0,1.0,46.0,1236.0,0.1,82.02416650190739,82.02416650190739,0.0,187.8727126121521,,,,,,,,,,,,,,,,,,,,,38.77173103495135,29.064168613883304,80.48187112253571,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,146.0,2.0,100.0,1336.0,0.1,126.56047046972363,126.56047046972363,0.0,198.66545581817627,,,,,,,,,,,,,,,,,,,,,61.64422646111439,36.43568302916383,120.75795954913889,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,179.0,3.0,33.0,1369.0,0.1,41.79048610635328,41.79048610635328,0.0,202.53811860084534,,,,,,,,,,,,,,,,,,,,,18.53633331398002,15.815347788349634,41.302570953442,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,294.0,4.0,115.0,1484.0,0.1,197.01990806371901,197.01990806371901,0.0,215.25541257858276,,,,,,,,,,,,,,,,,,,,,88.9829817805761,60.34454115859902,187.34834834629484,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,378.0,5.0,84.0,1568.0,0.1,154.30762813418127,154.30762813418127,0.0,224.38481640815735,,,,,,,,,,,,,,,,,,,,,69.6320523746867,50.03175010996957,148.90480357994147,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,501.0,6.0,123.0,1691.0,0.1,208.27888300575964,208.27888300575964,0.0,237.7837791442871,,,,,,,,,,,,,,,,,,,,,78.49555147341182,63.97483298471163,199.22099569785735,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,544.0,7.0,43.0,1734.0,0.1,55.98081810322281,55.98081810322281,0.0,242.49759149551392,,,,,,,,,,,,,,,,,,,,,25.073354019214765,19.77098845688304,55.06770183787242,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,572.0,8.0,28.0,1762.0,0.1,27.570047015230173,27.570047015230173,0.0,245.6675887107849,,,,,,,,,,,,,,,,,,,,,11.384519317255522,10.404472375292272,27.333198096375046,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,652.0,9.0,80.0,1842.0,0.1,135.02411930932217,135.02411930932217,0.0,254.51532554626465,,,,,,,,,,,,,,,,,,,,,63.11245373910614,45.51666449434766,130.3658295316659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,686.0,10.0,34.0,1876.0,0.1,32.71631097361663,32.71631097361663,0.0,258.665075302124,,,,,,,,,,,,,,,,,,,,,13.62961428345493,11.923081766446366,32.34985664068117,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,860.0,11.0,174.0,2050.0,0.1,366.06373308071534,366.06373308071534,0.0,277.1839249134064,,,,,,,,,,,,,,,,,,,,,162.1738790298102,107.58862152228035,338.9536619933667,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,884.0,12.0,24.0,2074.0,0.1,17.84427304945163,17.84427304945163,0.0,280.17510867118835,,,,,,,,,,,,,,,,,,,,,7.933927509346463,6.852629814471439,17.7069264655515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1006.0,13.0,122.0,2196.0,0.1,256.49151100583634,256.49151100583634,0.0,293.34268975257874,,,,,,,,,,,,,,,,,,,,,120.67371902824344,78.41113002047537,242.49607827347248,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1082.0,14.0,76.0,2272.0,0.1,72.99166960272552,72.99166960272552,0.0,301.7826204299927,,,,,,,,,,,,,,,,,,,,,26.313687314533002,21.9884803803875,71.20523151688239,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1132.0,15.0,50.0,2322.0,0.1,77.58241265129415,77.58241265129415,0.0,307.3453719615936,,,,,,,,,,,,,,,,,,,,,34.71431066649015,26.936193265012115,76.07469304911254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1321.0,16.0,189.0,2511.0,0.1,399.523485598702,399.523485598702,0.0,327.7520020008087,,,,,,,,,,,,,,,,,,,,,177.1663891901503,118.72325201174628,367.3358855013283,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1395.0,17.0,74.0,2585.0,0.1,124.63442379237878,124.63442379237878,0.0,335.96346640586853,,,,,,,,,,,,,,,,,,,,,54.75679702577812,40.65369413069929,120.94489277706889,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1513.0,18.0,118.0,2703.0,0.1,232.90258159623824,232.90258159623824,0.0,348.81291007995605,,,,,,,,,,,,,,,,,,,,,113.41426861123131,68.78787583060324,220.179576310495,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1539.0,19.0,26.0,2729.0,0.1,22.644824029711327,22.644824029711327,0.0,352.0757648944855,,,,,,,,,,,,,,,,,,,,,9.22380921664473,8.7110707451461,22.47235465946534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1573.0,20.0,34.0,2763.0,0.1,29.10612484689764,29.10612484689764,0.0,355.9538094997406,,,,,,,,,,,,,,,,,,,,,11.574768943012923,10.584461016224944,28.79889301399703,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,92.0,1.0,92.0,2855.0,0.1,156.09162971905334,156.09162971905334,0.0,539.2668781280518,,,,,,,,,,,,,,,,,,,,,65.52943997007566,50.020781588435085,150.5140118859427,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,204.0,2.0,112.0,2967.0,0.1,214.14662280844396,214.14662280844396,0.0,551.7030484676361,,,,,,,,,,,,,,,,,,,,,100.42721670773267,64.10114314604276,203.50869028547194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,241.0,3.0,37.0,3004.0,0.1,53.47035070442708,53.47035070442708,0.0,555.9633376598358,,,,,,,,,,,,,,,,,,,,,23.299037936665346,19.676943736031294,52.76642733626369,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,371.0,4.0,130.0,3134.0,0.1,256.6507861981922,256.6507861981922,0.0,570.1806466579437,,,,,,,,,,,,,,,,,,,,,122.42998693215641,76.90676102508986,241.5087111531637,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,443.0,5.0,72.0,3206.0,0.1,80.26888309788687,80.26888309788687,0.0,578.0248696804047,,,,,,,,,,,,,,,,,,,,,29.390689802700486,26.172145553567322,78.38768139161071,-0.3614291976357998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,510.0,6.0,67.0,3273.0,0.1,132.99541374741312,132.99541374741312,0.0,585.4871699810028,,,,,,,,,,,,,,,,,,,,,59.60666215752034,45.272196323079065,129.38954798756754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,667.0,7.0,157.0,3430.0,0.1,261.6926757418095,261.6926757418095,0.0,602.6048302650452,,,,,,,,,,,,,,,,,,,,,115.3908999798616,77.89194596098038,244.30849725555476,-0.08973004546610006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,710.0,8.0,43.0,3473.0,0.1,57.45735309177882,57.45735309177882,0.0,607.4930055141449,,,,,,,,,,,,,,,,,,,,,24.338662088661422,20.55635646257025,56.5803620235313,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,791.0,9.0,81.0,3554.0,0.1,132.03804534873726,132.03804534873726,0.0,616.5443511009216,,,,,,,,,,,,,,,,,,,,,59.98948914359649,44.71468803344244,127.56119776536995,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,820.0,10.0,29.0,3583.0,0.1,22.349434358044057,22.349434358044057,0.0,619.9379041194916,,,,,,,,,,,,,,,,,,,,,8.56954417447977,8.546634622727549,22.167353156561706,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,895.0,11.0,75.0,3658.0,0.1,145.62713403922683,145.62713403922683,0.0,628.2519643306732,,,,,,,,,,,,,,,,,,,,,64.60452943181132,46.883826283358495,141.20498581553505,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,917.0,12.0,22.0,3680.0,0.1,10.521658842948096,10.521658842948096,0.0,630.8664791584015,,,,,,,,,,,,,,,,,,,,,4.090142893125634,4.279422487614196,10.463033420924878,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,977.0,13.0,60.0,3740.0,0.1,105.94454021573912,105.94454021573912,0.0,637.5316100120544,,,,,,,,,,,,,,,,,,,,,47.30096919147065,36.11978191155341,103.41642118194952,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1113.0,14.0,136.0,3876.0,0.1,295.34174229430744,295.34174229430744,0.0,652.0404393672943,,,,,,,,,,,,,,,,,,,,,130.36841627987485,91.67337151471256,278.44614104339803,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1154.0,15.0,41.0,3917.0,0.1,44.66276974739492,44.66276974739492,0.0,656.7036263942719,,,,,,,,,,,,,,,,,,,,,17.59641600409155,15.97285684094364,44.07340472927424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1246.0,16.0,92.0,4009.0,0.1,163.74453742518176,163.74453742518176,0.0,666.6710488796234,,,,,,,,,,,,,,,,,,,,,71.20842550545686,53.18634670743439,157.66588709998422,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1278.0,17.0,32.0,4041.0,0.1,35.15826392230337,35.15826392230337,0.0,670.3100125789642,,,,,,,,,,,,,,,,,,,,,14.302572430255584,13.06852145449604,34.80489190036549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1309.0,18.0,31.0,4072.0,0.1,31.065353310654906,31.065353310654906,0.0,673.9174764156342,,,,,,,,,,,,,,,,,,,,,11.791863993364359,11.639223853823445,30.792089449733542,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1382.0,19.0,73.0,4145.0,0.1,129.65138130545557,129.65138130545557,0.0,681.7638282775879,,,,,,,,,,,,,,,,,,,,,57.9776944260103,44.01993552036455,125.7960204113255,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1411.0,20.0,29.0,4174.0,0.1,23.72922725337407,23.72922725337407,0.0,685.0120568275452,,,,,,,,,,,,,,,,,,,,,9.345704671980533,9.125110414072518,23.52871740748558,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,110.0,1.0,110.0,4284.0,0.1,227.99243354037873,227.99243354037873,0.0,909.0520210266113,,,,,,,,,,,,,,,,,,,,,106.20780577433861,69.88638894611502,216.99174497553372,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,202.0,2.0,92.0,4376.0,0.1,161.23934888419464,161.23934888419464,0.0,919.2036769390106,,,,,,,,,,,,,,,,,,,,,65.0041828866655,53.932169882383405,155.72567405950335,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,374.0,3.0,172.0,4548.0,0.1,357.9355928328595,357.9355928328595,0.0,938.0862228870392,,,,,,,,,,,,,,,,,,,,,162.28234948964814,104.34750340714413,331.0508096475349,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,500.0,4.0,126.0,4674.0,0.1,236.4370902650244,236.4370902650244,0.0,951.3632140159607,,,,,,,,,,,,,,,,,,,,,107.3096159863287,72.10475510867322,223.58616661568016,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,562.0,5.0,62.0,4736.0,0.1,103.73643126372141,103.73643126372141,0.0,958.3555114269257,,,,,,,,,,,,,,,,,,,,,44.558330314252146,34.469086277178704,101.27734308273408,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,613.0,6.0,51.0,4787.0,0.1,74.46232604027374,74.46232604027374,0.0,964.0126276016235,,,,,,,,,,,,,,,,,,,,,31.81784460223774,25.7113451148778,73.05857258064232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,739.0,7.0,126.0,4913.0,0.1,222.9226820427513,222.9226820427513,0.0,977.5446557998657,,,,,,,,,,,,,,,,,,,,,109.76982111581253,68.81461060653932,209.7202162800705,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,861.0,8.0,122.0,5035.0,0.1,229.19455786899428,229.19455786899428,0.0,990.6086642742157,,,,,,,,,,,,,,,,,,,,,95.88564885892363,73.83183542784123,218.15030539161464,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,913.0,9.0,52.0,5087.0,0.1,80.98967004429552,80.98967004429552,0.0,996.4162425994873,,,,,,,,,,,,,,,,,,,,,34.4972959183975,27.92854414127761,79.4338740565201,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,951.0,10.0,38.0,5125.0,0.1,43.29622889822648,43.29622889822648,0.0,1000.6713745594025,,,,,,,,,,,,,,,,,,,,,17.415708412106436,15.463555732535351,42.76259150807876,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1011.0,11.0,60.0,5185.0,0.1,99.54468386263568,99.54468386263568,0.0,1007.2490441799164,,,,,,,,,,,,,,,,,,,,,43.103300910265304,34.79656188411867,97.24994398739996,-0.42402403715462184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1035.0,12.0,24.0,5209.0,0.1,20.017356796691026,20.017356796691026,0.0,1010.0152034759521,,,,,,,,,,,,,,,,,,,,,8.813993186493473,7.595328294225478,19.865357456377307,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1218.0,13.0,183.0,5392.0,0.1,415.3852429594367,415.3852429594367,0.0,1029.4960451126099,,,,,,,,,,,,,,,,,,,,,191.92466842586003,120.40032268537576,381.49652879617975,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1288.0,14.0,70.0,5462.0,0.1,130.65879802704484,130.65879802704484,0.0,1037.8206984996796,,,,,,,,,,,,,,,,,,,,,60.05848641893599,43.853557620938886,126.83482808432292,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1326.0,15.0,38.0,5500.0,0.1,44.09567806296045,44.09567806296045,0.0,1042.3131213188171,,,,,,,,,,,,,,,,,,,,,19.047956009593175,15.810019339560775,43.50223196730418,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1394.0,16.0,68.0,5568.0,0.1,143.4855229000749,143.4855229000749,0.0,1049.8554682731628,,,,,,,,,,,,,,,,,,,,,66.61304792151088,48.496837377051705,139.37353827499578,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1489.0,17.0,95.0,5663.0,0.1,166.3630342423722,166.3630342423722,0.0,1060.0023427009583,,,,,,,,,,,,,,,,,,,,,73.36065096731726,53.67548732644425,159.87291167664483,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1548.0,18.0,59.0,5722.0,0.1,94.64826139769787,94.64826139769787,0.0,1066.529848575592,,,,,,,,,,,,,,,,,,,,,42.857680589863435,31.86757052714049,92.39657085815439,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1610.0,19.0,62.0,5784.0,0.1,93.10363679808553,93.10363679808553,0.0,1073.2205305099487,,,,,,,,,,,,,,,,,,,,,40.550476693382535,31.824966346672564,90.86182020912437,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,1639.0,20.0,29.0,5813.0,0.1,21.87897624248942,21.87897624248942,0.0,1076.637694120407,,,,,,,,,,,,,,,,,,,,,8.513763230536968,8.317762335157914,21.69710334923861,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,209.0,1.0,209.0,6022.0,0.1,386.74776302796005,386.74776302796005,0.0,1272.2078478336334,,,,,,,,,,,,,,,,,,,,,170.6897897476226,112.49876435760025,352.1289277192109,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
