Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,81.0,1.0,81.0,81.0,0.1,256.47467839961735,256.47467839961735,0.0,0.018306970596313477,,,,,,,,,,,,,,,,,,,,,114.38075852154797,80.04301439322289,247.70499925287868,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,456.0,2.0,375.0,456.0,0.1,1171.5463284089951,1171.5463284089951,0.0,45.13966751098633,,,,,,,,,,,,,,,,,,,,,478.81293670251983,312.58892142181173,993.9784400472059,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,676.0,3.0,220.0,676.0,0.1,669.9991368970844,669.9991368970844,0.0,72.16826963424683,,,,,,,,,,,,,,,,,,,,,290.680103260085,189.32841040197377,607.2634337840005,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,1204.0,4.0,528.0,1204.0,0.1,1521.0688205953802,1521.0688205953802,0.0,135.42501401901245,,,,,,,,,,,,,,,,,,,,,607.4864993417988,365.3946988313826,1202.720186595918,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1507.0,5.0,303.0,1507.0,0.1,847.1422780941517,847.1422780941517,0.0,172.64898896217346,,,,,,,,,,,,,,,,,,,,,323.77998561365223,245.38964633356454,750.5372664488473,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1621.0,6.0,114.0,1621.0,0.1,314.7238055922436,314.7238055922436,0.0,187.01063776016235,,,,,,,,,,,,,,,,,,,,,126.46671351094507,97.64758283945514,300.90811557503076,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1682.0,7.0,61.0,1682.0,0.1,154.15044283913883,154.15044283913883,0.0,194.86065030097961,,,,,,,,,,,,,,,,,,,,,61.962962948532436,50.87607606715257,150.67189521781873,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,2028.0,8.0,346.0,2028.0,0.1,1017.1895290671296,1017.1895290671296,0.0,237.11729526519775,,,,,,,,,,,,,,,,,,,,,439.94227621811484,250.2170947921277,866.7020388713655,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,2743.0,9.0,715.0,2743.0,0.1,2257.2799615395284,2257.2799615395284,0.0,323.58231496810913,,,,,,,,,,,,,,,,,,,,,909.5067517218254,496.0294060251683,1610.2014267104134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,2890.0,10.0,147.0,2890.0,0.1,342.63236987227464,342.63236987227464,0.0,341.801881313324,,,,,,,,,,,,,,,,,,,,,160.45063835980875,89.97542504273424,319.6851767016097,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
