Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,135.0,1.0,135.0,135.0,0.1,25.487185406866484,25.487185406866484,0.0,0.022519826889038086,,,,,,,,,,,,,,,,,,,,,11.794235975415356,7.773357024533017,23.96679204992584,0.19151197498592396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,734.0,2.0,599.0,734.0,0.1,119.60447371416329,119.60447371416329,0.0,75.83464193344116,,,,,,,,,,,,,,,,,,,,,49.575405739946476,26.583585724904825,90.32943671633633,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,1049.0,3.0,315.0,1049.0,0.1,61.71965422092786,61.71965422092786,0.0,115.54751801490784,,,,,,,,,,,,,,,,,,,,,28.421801309870478,15.93498087385173,53.05145329570342,0.19421736811555843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,1084.0,4.0,35.0,1084.0,0.1,5.359549589576683,5.359549589576683,0.0,120.47913575172424,,,,,,,,,,,,,,,,,,,,,2.975290606417868,1.6584549472623975,5.271212246726712,0.05091180116768656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1233.0,5.0,149.0,1233.0,0.1,26.122665809575615,26.122665809575615,0.0,139.40425324440002,,,,,,,,,,,,,,,,,,,,,11.872689223465175,7.624786579635972,24.426842386338006,0.036221326278732695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1589.0,6.0,356.0,1589.0,0.1,70.89184909643531,70.89184909643531,0.0,184.30969190597534,,,,,,,,,,,,,,,,,,,,,31.351037194092317,18.159637552468638,59.985786825413456,0.050412923382599784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1660.0,7.0,71.0,1660.0,0.1,10.897762928450915,10.897762928450915,0.0,193.87755751609802,,,,,,,,,,,,,,,,,,,,,4.762008170080206,3.5459916395054245,10.591402793137659,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,2115.0,8.0,455.0,2115.0,0.1,91.0822556400299,91.0822556400299,0.0,251.20817685127258,,,,,,,,,,,,,,,,,,,,,41.819558784427635,20.470861167293748,72.37845520873474,0.056083075641279165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,2394.0,9.0,279.0,2394.0,0.1,60.00122388444235,60.00122388444235,0.0,286.8798885345459,,,,,,,,,,,,,,,,,,,,,26.995602016273974,15.288699466494117,52.62717461685584,0.1892203430813519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,2434.0,10.0,40.0,2434.0,0.1,5.608463253518748,5.608463253518748,0.0,292.47977447509766,,,,,,,,,,,,,,,,,,,,,2.9452174574537127,1.8416283473770914,5.511436952266813,0.127715417836616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
