episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-7.164555208686503,0.8620705688367398,-94.95584520485282,-24.647828936576843,0.6735020726919174,[-24.647828936576843, 0.6735020726919174],0.0,False,True,0.32357470947111294,0,43.31233099315103,6.677,prepare,0.0
0,2.0,-7.16453955438216,0.8622175151484315,-94.95326493709497,-23.072787523269653,0.6802256181836128,[-23.072787523269653, 0.6802256181836128],1.0,False,True,0.3232335845007699,0,43.31233099315103,6.749,in_progress,0.0
0,3.0,-7.166007064480997,0.8508602784264347,-95.09800815672362,-26.476356983184814,0.6921684965491295,[-26.476356983184814, 0.6921684965491295],1.0,False,True,0.3496499232361736,1,43.31233099315103,6.811,in_progress,0.0
0,4.0,-7.170688126214757,0.8310417291305969,-95.84764480732292,-30.0,0.5598785877227783,[-30.0, 0.5598785877227783],1.0,False,True,0.39616950133939965,1,43.31233099315103,6.879,in_progress,0.0
0,5.0,-7.180393377229275,0.8025760248396931,-97.51537064840306,-28.577585220336914,0.5771045833826065,[-28.577585220336914, 0.5771045833826065],1.0,False,True,0.4635807421333792,1,43.31233099315103,6.938,in_progress,0.0
0,6.0,-7.19415510866641,0.7622906817512531,-99.48810220694455,-2.4222321063280106,0.7827532589435577,[-2.4222321063280106, 0.7827532589435577],1.0,False,True,0.5589880450793695,1,43.31233099315103,7.007,in_progress,0.0
0,7.0,-7.207252277179569,0.7260378874971853,-101.20733661129093,21.871204376220703,0.7161067426204681,[21.871204376220703, 0.7161067426204681],1.0,False,True,0.644987243069284,1,43.31233099315103,7.078,in_progress,0.0
0,8.0,-7.221879801057962,0.6814388035428758,-102.51204794806452,-8.946840763092041,1.0,[-8.946840763092041, 1.0],1.0,False,True,0.7464618923798778,1,43.31233099315103,7.146,in_progress,0.0
0,9.0,-7.2397265546688105,0.6270467543630303,-103.8415574908292,-30.0,0.8867150545120239,[-30.0, 0.8867150545120239],1.0,False,True,0.8737664657747118,1,43.31233099315103,7.206,in_progress,0.0
0,10.0,-7.260726877657707,0.5786595322592571,-105.87835337084772,-5.496869087219238,0.8598856702446938,[-5.496869087219238, 0.8598856702446938],1.0,False,True,0.9875479585557236,1,43.31233099315103,7.279,in_progress,0.0
0,11.0,-7.288290454570524,0.5194920450647956,-108.21047892078386,25.1496022939682,0.5193420052528381,[25.1496022939682, 0.5193420052528381],1.0,False,True,1.126874390869712,2,43.31233099315103,7.35,in_progress,0.0
0,12.0,-7.312854089382698,0.4646243618781676,-109.60020169855851,18.623886108398438,0.6403739154338837,[18.623886108398438, 0.6403739154338837],0.5,False,True,1.2559723807919914,2,43.31233099315103,7.41,in_progress,0.0
0,13.0,-7.331613747168568,0.41742649498404993,-110.00830124561006,6.8426308035850525,0.7689105700701475,[6.8426308035850525, 0.7689105700701475],0.5,False,True,1.366778344934428,2,43.31233099315103,7.478,in_progress,0.0
0,14.0,-7.353590489088529,0.36566306356434514,-110.63473651690104,-10.436684489250183,0.7150038667023182,[-10.436684489250183, 0.7150038667023182],0.5,False,True,1.4780084791347097,2,43.31233099315103,7.548,in_progress,0.0
0,15.0,-7.374133116589125,0.3144358495635333,-110.91043055445134,-2.303987592458725,0.5799951255321503,[-2.303987592458725, 0.5799951255321503],0.5,False,True,1.597059754642997,2,43.31233099315103,7.614,in_progress,0.0
0,16.0,-7.39397616968081,0.271174498963931,-111.63503580073201,25.150258541107178,0.8317790254950523,[25.150258541107178, 0.8317790254950523],0.5,False,True,1.697694895933376,2,43.31233099315103,7.668,in_progress,0.0
0,17.0,-7.412554331628793,0.22799487847274216,-111.99476936416646,30.0,0.8102155774831772,[30.0, 0.8102155774831772],0.5,False,True,1.7980924823283622,3,43.31233099315103,7.748,in_progress,0.0
0,18.0,-7.433701399837113,0.16857466547722796,-111.44797160257704,30.0,0.589339405298233,[30.0, 0.589339405298233],0.5,False,True,1.9360805553593867,3,43.31233099315103,7.815,in_progress,0.0
0,19.0,-7.446320863219607,0.11538782719618987,-109.67272583398284,30.0,0.5,[30.0, 0.5],0.5,False,True,2.059349407738637,3,43.31233099315103,7.871,in_progress,0.0
0,20.0,-7.455075377278847,0.06878498976173578,-107.94632061475654,30.0,0.5,[30.0, 0.5],0.5,False,True,2.1531895728489165,3,43.31233099315103,7.952,in_progress,0.0
0,21.0,-7.458631562077341,0.012441545703543583,-104.74939681794423,30.0,0.5,[30.0, 0.5],0.5,False,True,2.2832161435468503,3,43.31233099315103,8.021,in_progress,0.0
0,22.0,-7.45772110674391,-0.023355839023797315,-102.40678749505865,-5.169062912464142,0.5744356215000153,[-5.169062912464142, 0.5744356215000153],0.5,False,True,2.365878097603474,3,43.31233099315103,8.081,in_progress,0.0
0,23.0,-7.45539218348649,-0.05376582116265563,-100.27574400971854,8.308049440383911,0.7634998206049204,[8.308049440383911, 0.7634998206049204],0.5,False,True,2.4361244715349044,4,43.31233099315103,8.138,in_progress,0.0
0,24.0,-7.451145346661042,-0.1091810915854805,-97.0933091129321,5.460190325975418,0.9431172609329224,[5.460190325975418, 0.9431172609329224],0.5,False,True,2.564132544615344,4,43.31233099315103,8.211,in_progress,0.0
0,25.0,-7.445304793724451,-0.15881705975212046,-94.3386367370721,-14.801961779594421,0.6155708432197571,[-14.801961779594421, 0.6155708432197571],0.5,False,True,2.678823031318056,4,43.31233099315103,8.277,in_progress,0.0
0,26.0,-7.43951844273677,-0.2131148481041838,-92.059892190785,27.184957265853882,0.820231482386589,[27.184957265853882, 0.820231482386589],0.5,False,True,2.7933114677696174,4,43.31233099315103,8.353,in_progress,0.0
0,27.0,-7.432098242150875,-0.28319023377054653,-89.91940422469919,30.0,0.7986857742071152,[30.0, 0.7986857742071152],0.5,False,True,2.9554969888558866,4,43.31233099315103,8.415,in_progress,0.0
0,28.0,-7.4215775739505805,-0.3345746019616731,-87.53998716475448,29.839035272598267,0.690988078713417,[29.839035272598267, 0.690988078713417],0.5,False,True,3.074731718096229,4,43.31233099315103,8.486,in_progress,0.0
0,29.0,-7.404168928596046,-0.38351035442569004,-83.98018178483025,-5.529192388057709,0.7910809814929962,[-5.529192388057709, 0.7910809814929962],0.5,False,True,3.1887333537644933,5,43.31233099315103,8.548,in_progress,0.0
0,30.0,-7.381042768703125,-0.44096737326612656,-80.1828619304464,18.71768832206726,0.7198054511100054,[18.71768832206726, 0.7198054511100054],0.5,False,True,3.3227494309819083,5,43.31233099315103,8.608,in_progress,0.0
0,31.0,-7.360278538577143,-0.48711609291567937,-77.2396620269331,-27.43266999721527,0.9097914844751358,[-27.43266999721527, 0.9097914844751358],0.5,False,True,3.430522362185326,5,43.31233099315103,8.691,in_progress,0.0
0,32.0,-7.331406068280437,-0.5493344039772946,-74.11040167196471,-6.113191545009613,0.7671073749661446,[-6.113191545009613, 0.7671073749661446],0.5,False,True,3.577556456481275,5,43.31233099315103,8.761,in_progress,0.0
