Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,72.0,1.0,72.0,72.0,0.1,57.33084147568502,57.33084147568502,0.0,0.01566600799560547,,,,,,,,,,,,,,,,,,,,,22.612215877763063,18.443189668273646,55.81433478772681,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,116.0,2.0,44.0,116.0,0.1,17.02600887035203,17.02600887035203,0.0,4.942387104034424,,,,,,,,,,,,,,,,,,,,,3.860020634056337,5.641540880152442,16.889930934391373,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,172.0,3.0,56.0,172.0,0.1,42.01303159891288,42.01303159891288,0.0,11.16590690612793,,,,,,,,,,,,,,,,,,,,,16.65224567610168,14.011924940376836,41.16279025877851,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,203.0,4.0,31.0,203.0,0.1,11.019003387381595,11.019003387381595,0.0,14.70649003982544,,,,,,,,,,,,,,,,,,,,,2.4880034680933285,3.7360567265327562,10.963791899878567,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,292.0,5.0,89.0,292.0,0.1,57.03105699938482,57.03105699938482,0.0,24.291910648345947,,,,,,,,,,,,,,,,,,,,,19.620687658774735,18.402337030544697,55.39555150521284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,329.0,6.0,37.0,329.0,0.1,20.371683278485314,20.371683278485314,0.0,28.462514638900757,,,,,,,,,,,,,,,,,,,,,5.781781630475532,6.926496298795414,20.198133426878027,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,399.0,7.0,70.0,399.0,0.1,59.01005327602536,59.01005327602536,0.0,36.12287759780884,,,,,,,,,,,,,,,,,,,,,25.63088667699614,18.729513964370252,57.33049486787656,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,432.0,8.0,33.0,432.0,0.1,25.007011711037066,25.007011711037066,0.0,39.74001383781433,,,,,,,,,,,,,,,,,,,,,10.524232040472572,8.500772706783629,24.709105555707332,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,552.0,9.0,120.0,552.0,0.1,103.016104208924,103.016104208924,0.0,52.6946234703064,,,,,,,,,,,,,,,,,,,,,43.98278573598459,31.639977678050897,97.93393986639872,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,589.0,10.0,37.0,589.0,0.1,23.013017218034072,23.013017218034072,0.0,56.84838318824768,,,,,,,,,,,,,,,,,,,,,8.029993996142913,8.038936458129053,22.761407493756792,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
