Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,256.0,1.0,256.0,256.0,0.1,803.2421581436647,803.2421581436647,0.0,0.013581037521362305,,,,,,,,,,,,,,,,,,,,,350.28354056593275,214.68029686377224,714.9988544688695,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,348.0,2.0,92.0,348.0,0.1,277.50596751262293,277.50596751262293,0.0,10.035862684249878,,,,,,,,,,,,,,,,,,,,,119.97424764201445,84.92305832560669,267.0020738752347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,397.0,3.0,49.0,397.0,0.1,88.89687447140287,88.89687447140287,0.0,15.690171957015991,,,,,,,,,,,,,,,,,,,,,28.530374363337877,30.603827432901376,87.67414674694633,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,426.0,4.0,29.0,426.0,0.1,43.51548265751296,43.51548265751296,0.0,19.118762731552124,,,,,,,,,,,,,,,,,,,,,13.502702273979743,15.56524566716389,43.21028164457508,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,479.0,5.0,53.0,479.0,0.1,147.54436779759638,147.54436779759638,0.0,24.82813811302185,,,,,,,,,,,,,,,,,,,,,66.02768926104021,46.90486046642746,144.33342277889625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,529.0,6.0,50.0,529.0,0.1,125.49043596504444,125.49043596504444,0.0,30.339807510375977,,,,,,,,,,,,,,,,,,,,,48.22996946408135,39.86491422715856,123.32546509656835,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,565.0,7.0,36.0,565.0,0.1,67.73016991358926,67.73016991358926,0.0,34.350536584854126,,,,,,,,,,,,,,,,,,,,,22.107630719538086,24.03066626004917,67.0683648690591,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,605.0,8.0,40.0,605.0,0.1,102.77282145051322,102.77282145051322,0.0,38.713900327682495,,,,,,,,,,,,,,,,,,,,,45.00392793782567,33.70581138534915,101.17491298405531,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,640.0,9.0,35.0,640.0,0.1,56.961054083036615,56.961054083036615,0.0,42.68660283088684,,,,,,,,,,,,,,,,,,,,,17.302823649252744,19.23634269484254,56.46833545789313,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,681.0,10.0,41.0,681.0,0.1,100.95273138383654,100.95273138383654,0.0,47.12277889251709,,,,,,,,,,,,,,,,,,,,,41.10614663842559,34.53810990028443,99.46621233010895,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,717.0,11.0,36.0,717.0,0.1,65.21966457989687,65.21966457989687,0.0,51.174646615982056,,,,,,,,,,,,,,,,,,,,,26.562911596347707,20.903211753012208,64.39211960952774,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,794.0,12.0,77.0,794.0,0.1,233.6626060439123,233.6626060439123,0.0,59.355669021606445,,,,,,,,,,,,,,,,,,,,,105.5012645041122,72.76721895111731,225.99076421476084,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,878.0,13.0,84.0,878.0,0.1,217.05580247346515,217.05580247346515,0.0,68.66377091407776,,,,,,,,,,,,,,,,,,,,,88.25366689934819,67.52618720234139,210.06240920993048,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,911.0,14.0,33.0,911.0,0.1,65.84226955016433,65.84226955016433,0.0,72.46273016929626,,,,,,,,,,,,,,,,,,,,,24.271051702385957,23.09637291259742,65.17160287813898,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,947.0,15.0,36.0,947.0,0.1,92.50287474863926,92.50287474863926,0.0,76.4353301525116,,,,,,,,,,,,,,,,,,,,,36.2158837919294,31.80062575797612,91.38177510055577,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1001.0,16.0,54.0,1001.0,0.1,123.64507812793907,123.64507812793907,0.0,82.2554543018341,,,,,,,,,,,,,,,,,,,,,40.00120100870828,42.97056155423954,121.72834824160367,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
