Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,37.0,1.0,37.0,37.0,0.1,4.5386302388911535,4.5386302388911535,0.0,0.01409769058227539,,,,,,,,,,,,,,,,,,,,,2.0802342352960075,1.6355465447876563,4.475073371554825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,90.0,2.0,53.0,90.0,0.1,7.89714181269865,7.89714181269865,0.0,5.970684766769409,,,,,,,,,,,,,,,,,,,,,3.6465439081999795,2.7197388793775397,7.734767678603727,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,151.0,3.0,61.0,151.0,0.1,5.400279804193084,5.400279804193084,0.0,12.787591934204102,,,,,,,,,,,,,,,,,,,,,1.9535390751662205,1.9720115197664279,5.302291293236997,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,186.0,4.0,35.0,186.0,0.1,3.5741049566472585,3.5741049566472585,0.0,16.79573678970337,,,,,,,,,,,,,,,,,,,,,1.609872529112571,1.3675997761938021,3.5354011049784986,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,263.0,5.0,77.0,263.0,0.1,12.072198275937142,12.072198275937142,0.0,25.461470365524292,,,,,,,,,,,,,,,,,,,,,5.502955122237878,4.0476652485134625,11.69518133253599,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,314.0,6.0,51.0,314.0,0.1,7.5289442005466665,7.5289442005466665,0.0,31.196005821228027,,,,,,,,,,,,,,,,,,,,,3.5113461672806854,2.569605705472833,7.371959315455727,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,429.0,7.0,115.0,429.0,0.1,21.504418772012034,21.504418772012034,0.0,44.12710356712341,,,,,,,,,,,,,,,,,,,,,9.462661732983598,6.914339293109538,20.47758401248194,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,477.0,8.0,48.0,477.0,0.1,6.999044285835822,6.999044285835822,0.0,49.350544929504395,,,,,,,,,,,,,,,,,,,,,2.936038635802595,2.5640325865643647,6.885615607589589,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,507.0,9.0,30.0,507.0,0.1,2.2227630463689785,2.2227630463689785,0.0,52.831488370895386,,,,,,,,,,,,,,,,,,,,,0.9364159406233147,0.8418305322238004,2.2034712410989097,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,540.0,10.0,33.0,540.0,0.1,3.4289323330215353,3.4289323330215353,0.0,56.58694386482239,,,,,,,,,,,,,,,,,,,,,1.5989998866165536,1.2483841266656845,3.3863141235778675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
