Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,36.0,1.0,36.0,36.0,0.1,5.476406225317273,5.476406225317273,0.0,0.01444101333618164,,,,,,,,,,,,,,,,,,,,,3.036834895647296,1.653004080737057,5.383213665813625,0.15483204737369563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,65.0,2.0,29.0,65.0,0.1,3.4082248524227654,3.4082248524227654,0.0,4.3425133228302,,,,,,,,,,,,,,,,,,,,,1.630519370803486,1.2374953700222466,3.3710428093400995,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,117.0,3.0,52.0,117.0,0.1,10.078478701061462,10.078478701061462,0.0,11.278851509094238,,,,,,,,,,,,,,,,,,,,,5.986404972113705,2.85067389188795,9.796545900371507,0.7082818034320318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,264.0,4.0,147.0,264.0,0.1,25.802013936864974,25.802013936864974,0.0,29.716761827468872,,,,,,,,,,,,,,,,,,,,,12.648284210161597,7.057657348107315,24.01468820252889,0.1659362255744155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,301.0,5.0,37.0,301.0,0.1,5.611003310845379,5.611003310845379,0.0,34.646183013916016,,,,,,,,,,,,,,,,,,,,,3.0149744720558127,1.9077101776894527,5.520584246897218,0.104510210089039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,342.0,6.0,41.0,342.0,0.1,7.090664325961026,7.090664325961026,0.0,40.09111142158508,,,,,,,,,,,,,,,,,,,,,4.378900784753964,1.9917068867836316,6.93190431795894,0.5582609226865206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,389.0,7.0,47.0,389.0,0.1,7.595059382673822,7.595059382673822,0.0,46.49151253700256,,,,,,,,,,,,,,,,,,,,,3.766614357276451,2.4216310849341025,7.441166619816079,0.23173222513557565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,422.0,8.0,33.0,422.0,0.1,3.217229666231859,3.217229666231859,0.0,50.71725845336914,,,,,,,,,,,,,,,,,,,,,1.4149174946389689,1.2233598018430585,3.181930094992178,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,463.0,9.0,41.0,463.0,0.1,5.585504707965148,5.585504707965148,0.0,55.96760678291321,,,,,,,,,,,,,,,,,,,,,2.877033092840484,1.7480929829265917,5.483981850247861,0.35740063379480513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,513.0,10.0,50.0,513.0,0.1,6.980060652864391,6.980060652864391,0.0,62.61065053939819,,,,,,,,,,,,,,,,,,,,,3.603158583250385,2.223687767460298,6.82034329939049,0.016493130524470295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,542.0,11.0,29.0,542.0,0.1,3.250859505128415,3.250859505128415,0.0,66.67171907424927,,,,,,,,,,,,,,,,,,,,,1.782444556844145,1.06092765193801,3.2087853458702926,0.19525736092411447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,627.0,12.0,85.0,627.0,0.1,14.554914831833957,14.554914831833957,0.0,77.7414903640747,,,,,,,,,,,,,,,,,,,,,7.188195558468417,4.334024992039763,13.99172839688735,0.21089759970651997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,704.0,13.0,77.0,704.0,0.1,13.859151807870123,13.859151807870123,0.0,87.46539449691772,,,,,,,,,,,,,,,,,,,,,7.276075149695021,4.144047269201634,13.349586773894366,0.1554916144858363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,793.0,14.0,89.0,793.0,0.1,15.121556236119506,15.121556236119506,0.0,99.46053147315979,,,,,,,,,,,,,,,,,,,,,7.252268775356543,4.581734691979664,14.519619629662493,0.05722479397266705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,830.0,15.0,37.0,830.0,0.1,5.4737046737367345,5.4737046737367345,0.0,104.59635186195374,,,,,,,,,,,,,,,,,,,,,3.137483060080649,1.736690499240873,5.37372285327875,0.04767030684696051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,877.0,16.0,47.0,877.0,0.1,6.422826063719882,6.422826063719882,0.0,111.06821775436401,,,,,,,,,,,,,,,,,,,,,3.163170389227712,2.055772692942122,6.293623162524945,0.23820926334286394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,906.0,17.0,29.0,906.0,0.1,3.062255979991407,3.062255979991407,0.0,115.06891322135925,,,,,,,,,,,,,,,,,,,,,1.734277772830495,0.9253313272260725,3.021015912289471,0.26920736452760385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,936.0,18.0,30.0,936.0,0.1,3.138052890769561,3.138052890769561,0.0,119.07211422920227,,,,,,,,,,,,,,,,,,,,,1.6112005711394088,1.0090238869925505,3.0990045935011055,0.040770808752169485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1023.0,19.0,87.0,1023.0,0.1,16.61364181600328,16.61364181600328,0.0,130.284930229187,,,,,,,,,,,,,,,,,,,,,8.723010326410538,4.930787153178475,15.907534713145186,0.046883018026163625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1091.0,20.0,68.0,1091.0,0.1,10.876183286608756,10.876183286608756,0.0,139.0452175140381,,,,,,,,,,,,,,,,,,,,,5.707960135572542,3.245969412601239,10.519569156671947,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,54.0,1.0,54.0,1145.0,0.1,9.27243235229832,9.27243235229832,0.0,228.4377417564392,,,,,,,,,,,,,,,,,,,,,4.716652403653637,2.8211247351153363,9.044840518580052,0.14224649880492105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,107.0,2.0,53.0,1198.0,0.1,7.599310579287975,7.599310579287975,0.0,235.21243453025818,,,,,,,,,,,,,,,,,,,,,4.09617185093911,2.27086474456949,7.404505944494388,0.4111649054018799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,133.0,3.0,26.0,1224.0,0.1,3.505844988522978,3.505844988522978,0.0,238.80019998550415,,,,,,,,,,,,,,,,,,,,,2.0380816489655347,1.0644158121308047,3.4632341819564316,0.3103954493707801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,169.0,4.0,36.0,1260.0,0.1,4.7632998824640325,4.7632998824640325,0.0,243.55058908462524,,,,,,,,,,,,,,,,,,,,,2.448923314323338,1.5719459466154144,4.692118633187371,0.1688648684677143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,198.0,5.0,29.0,1289.0,0.1,3.7190791937015173,3.7190791937015173,0.0,247.55898880958557,,,,,,,,,,,,,,,,,,,,,2.0895893613039767,1.160819334143157,3.6694785330567514,0.08668417399426859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,229.0,6.0,31.0,1320.0,0.1,3.210680904044141,3.210680904044141,0.0,251.84468579292297,,,,,,,,,,,,,,,,,,,,,1.796429877260095,1.0119732756011808,3.166196351122666,0.11926640704828817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,269.0,7.0,40.0,1360.0,0.1,7.46735814471046,7.46735814471046,0.0,257.2215266227722,,,,,,,,,,,,,,,,,,,,,4.419153482209721,2.258304333407386,7.316371607093807,0.26171987056191737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
