Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,119.0,1.0,119.0,119.0,0.1,22.637345823930985,22.637345823930985,0.0,0.0167386531829834,,,,,,,,,,,,,,,,,,,,,11.101617806376755,6.527744718501571,21.38033017588963,0.23701223787422285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,482.0,2.0,363.0,482.0,0.1,72.96500976460156,72.96500976460156,0.0,44.81729602813721,,,,,,,,,,,,,,,,,,,,,33.31828611849494,17.24096277230067,61.10727145606507,0.2632364726506261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,653.0,3.0,171.0,653.0,0.1,32.56364062078349,32.56364062078349,0.0,66.18978238105774,,,,,,,,,,,,,,,,,,,,,15.86819461092053,8.836418821908559,29.94574724246988,0.17974757365411334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,743.0,4.0,90.0,743.0,0.1,13.662276885617873,13.662276885617873,0.0,77.26464939117432,,,,,,,,,,,,,,,,,,,,,6.196359632634554,4.440245713109424,13.146411259816118,0.025745411018005142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,794.0,5.0,51.0,794.0,0.1,8.43612808699783,8.43612808699783,0.0,83.83752512931824,,,,,,,,,,,,,,,,,,,,,4.422845187736692,2.557771844628846,8.235244016977385,0.783539526791963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,842.0,6.0,48.0,842.0,0.1,6.566073610431498,6.566073610431498,0.0,90.15793776512146,,,,,,,,,,,,,,,,,,,,,3.264112523783704,2.058605192753072,6.431599746856044,0.3395025178149561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,937.0,7.0,95.0,937.0,0.1,17.99404519506556,17.99404519506556,0.0,102.45981097221375,,,,,,,,,,,,,,,,,,,,,8.640347257230662,5.2579898954026305,17.22483505350885,0.22046507316974648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1010.0,8.0,73.0,1010.0,0.1,13.370353362504009,13.370353362504009,0.0,111.74262928962708,,,,,,,,,,,,,,,,,,,,,7.27608141604851,3.7934090290442795,12.888649138325906,0.08669427698858187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1247.0,9.0,237.0,1247.0,0.1,47.328209078240896,47.328209078240896,0.0,141.07189416885376,,,,,,,,,,,,,,,,,,,,,22.27040450820616,12.338157290568951,42.21365578043033,0.32333879155382383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1327.0,10.0,80.0,1327.0,0.1,13.918624069545276,13.918624069545276,0.0,151.12803745269775,,,,,,,,,,,,,,,,,,,,,6.903839410309848,4.1968711552346045,13.406496199236097,0.12444943211100465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,1366.0,11.0,39.0,1366.0,0.1,7.455619745298765,7.455619745298765,0.0,156.37829327583313,,,,,,,,,,,,,,,,,,,,,4.377010103675872,2.279338242576583,7.306814882765872,0.056493506896875705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1398.0,12.0,32.0,1398.0,0.1,5.111540968334667,5.111540968334667,0.0,160.69479870796204,,,,,,,,,,,,,,,,,,,,,2.9548032210375696,1.5460876281487888,5.032068379226075,0.2945546923647979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,1481.0,13.0,83.0,1481.0,0.1,13.947067513553352,13.947067513553352,0.0,171.45138120651245,,,,,,,,,,,,,,,,,,,,,6.64371360843592,4.245264885066363,13.435906709898642,0.43892813694316846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,1782.0,14.0,301.0,1782.0,0.1,55.41260726459221,55.41260726459221,0.0,208.1716628074646,,,,,,,,,,,,,,,,,,,,,25.67450807397784,14.435958446785312,47.892679524495975,0.257759889598529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,1942.0,15.0,160.0,1942.0,0.1,31.402335110975837,31.402335110975837,0.0,228.459819316864,,,,,,,,,,,,,,,,,,,,,14.472714330629731,8.84515802647359,29.18146264611962,-0.018884520863375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1993.0,16.0,51.0,1993.0,0.1,7.855788553606355,7.855788553606355,0.0,235.23907017707825,,,,,,,,,,,,,,,,,,,,,3.568671608601246,2.741246966635835,7.696853780043336,-0.005121171293305777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,2066.0,17.0,73.0,2066.0,0.1,12.455142846208508,12.455142846208508,0.0,244.3735055923462,,,,,,,,,,,,,,,,,,,,,5.6917439715473614,4.128340419126793,12.085569553075059,0.034282716718619315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,2166.0,18.0,100.0,2166.0,0.1,20.085952191313947,20.085952191313947,0.0,257.0497395992279,,,,,,,,,,,,,,,,,,,,,11.053329134258773,5.2827709491998505,19.04161757283986,0.3014758889117498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,2542.0,19.0,376.0,2542.0,0.1,74.31784424815555,74.31784424815555,0.0,303.324294090271,,,,,,,,,,,,,,,,,,,,,32.907264756103245,18.608831486226297,62.22778468457893,0.062162993382006156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2639.0,20.0,97.0,2639.0,0.1,18.22058664347804,18.22058664347804,0.0,315.71751499176025,,,,,,,,,,,,,,,,,,,,,9.249149246093696,5.0346708188559095,17.3914513386885,0.3222071197781301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,423.0,1.0,423.0,3062.0,0.1,87.18485629296825,87.18485629296825,0.0,725.5005824565887,,,,,,,,,,,,,,,,,,,,,39.7347756944919,20.07559836727129,70.68765653232809,0.08375434517075853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,489.0,2.0,66.0,3128.0,0.1,12.364241206006453,12.364241206006453,0.0,733.8884229660034,,,,,,,,,,,,,,,,,,,,,6.605252528568669,3.7053560474045346,11.967443734621433,0.5410767842151926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
