episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-7.164552491513589,0.862029352715544,-94.95168483775355,30.0,0.7152854464948177,[30.0, 0.7152854464948177],0.0,False,True,0.32366897266981026,0,43.31233099315103,6.631,prepare,0.0
0,2.0,-7.16480263636801,0.8621201874355513,-95.01705368802658,30.0,0.6957602985203266,[30.0, 0.6957602985203266],1.0,False,True,0.3235099020289506,0,43.31233099315103,6.724,in_progress,0.0
0,3.0,-7.165802369965997,0.8499546618295383,-94.99503557295506,30.0,0.7419684696942568,[30.0, 0.7419684696942568],1.0,False,True,0.351692206684756,1,43.31233099315103,6.785,in_progress,0.0
0,4.0,-7.165708276070152,0.8325427328159981,-94.62601545992241,30.0,0.7318883035331964,[30.0, 0.7318883035331964],1.0,False,True,0.39172417603990345,1,43.31233099315103,6.844,in_progress,0.0
0,5.0,-7.159788286490625,0.7814972527481244,-92.4133024927155,21.283586025238037,0.7211118265986443,[21.283586025238037, 0.7211118265986443],1.0,False,True,0.5079582760058906,1,43.31233099315103,6.918,in_progress,0.0
0,6.0,-7.150834785462844,0.7366685022470556,-89.88292879519231,-13.325361907482147,0.7716450989246368,[-13.325361907482147, 0.7716450989246368],1.0,False,True,0.6092879926809952,1,43.31233099315103,6.98,in_progress,0.0
0,7.0,-7.142295520695663,0.6868973883266899,-87.98097317759884,-7.79570996761322,0.8607531413435936,[-7.79570996761322, 0.8607531413435936],1.0,False,True,0.725620833906266,1,43.31233099315103,7.054,in_progress,0.0
0,8.0,-7.132739113900813,0.6304818866900226,-86.24640771491472,-0.7326365076005459,0.8517985045909882,[-0.7326365076005459, 0.8517985045909882],1.0,False,True,0.8547514323714877,1,43.31233099315103,7.112,in_progress,0.0
0,9.0,-7.1235610798869375,0.585332355323996,-84.80226602439423,1.1182310432195663,0.6863560155034065,[1.1182310432195663, 0.6863560155034065],1.0,False,True,0.957936496474258,1,43.31233099315103,7.165,in_progress,0.0
0,10.0,-7.1034208304934365,0.5200175403036222,-81.62229109621661,-18.380348682403564,0.6018309593200684,[-18.380348682403564, 0.6018309593200684],1.0,False,True,1.1064959210888328,2,43.31233099315103,7.268,in_progress,0.0
0,11.0,-7.087983546472697,0.46523491685673546,-79.93859463479636,-16.163594126701355,0.6064824759960175,[-16.163594126701355, 0.6064824759960175],1.0,False,True,1.2312506126813956,2,43.31233099315103,7.286,in_progress,0.0
0,12.0,-7.084103496358982,0.44917837366450836,-79.66998541300715,-16.92866563796997,0.5220802277326584,[-16.92866563796997, 0.5220802277326584],1.0,False,True,1.2678824815888943,2,43.31233099315103,7.404,in_progress,0.0
