Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,33.0,1.0,33.0,33.0,0.1,108.50331166962299,108.50331166962299,0.0,0.015438079833984375,,,,,,,,,,,,,,,,,,,,,40.089931101891636,36.28641045353147,107.39502660143687,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,62.0,2.0,29.0,62.0,0.1,78.68807476697798,78.68807476697798,0.0,3.9152443408966064,,,,,,,,,,,,,,,,,,,,,23.344954051061865,26.13439573369554,78.16732758734426,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,96.0,3.0,34.0,96.0,0.1,54.010424471803944,54.010424471803944,0.0,8.288295030593872,,,,,,,,,,,,,,,,,,,,,15.882677608246391,18.082217693710565,53.577514885379436,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,125.0,4.0,29.0,125.0,0.1,32.44587386852783,32.44587386852783,0.0,12.251298427581787,,,,,,,,,,,,,,,,,,,,,8.39578230986696,10.794039889412293,32.266897710064114,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,194.0,5.0,69.0,194.0,0.1,306.8718361818934,306.8718361818934,0.0,20.988162517547607,,,,,,,,,,,,,,,,,,,,,132.75808819688615,105.35425184259799,298.3078454794215,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,236.0,6.0,42.0,236.0,0.1,266.1863079141009,266.1863079141009,0.0,26.755591869354248,,,,,,,,,,,,,,,,,,,,,119.40708194469306,84.63124718224424,261.69433745299233,1.8175958312153577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,284.0,7.0,48.0,284.0,0.1,235.19677463071127,235.19677463071127,0.0,32.8910231590271,,,,,,,,,,,,,,,,,,,,,104.59335952710153,77.06718957279668,230.63733741089473,1.9136873092974964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,368.0,8.0,84.0,368.0,0.1,225.7081848407745,225.7081848407745,0.0,43.21756052970886,,,,,,,,,,,,,,,,,,,,,76.48172496069344,77.92683012516022,219.72294611335687,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,403.0,9.0,35.0,403.0,0.1,54.467232629782266,54.467232629782266,0.0,47.767377853393555,,,,,,,,,,,,,,,,,,,,,14.710588653911573,17.405343910778473,54.060428824114766,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,448.0,10.0,45.0,448.0,0.1,244.4673045802067,244.4673045802067,0.0,53.65948534011841,,,,,,,,,,,,,,,,,,,,,126.40711191375885,79.08660849526851,239.25725980644071,2.622824746121375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
