Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,30.0,1.0,30.0,30.0,0.1,1.2229838460086557,1.2229838460086557,0.0,0.014648914337158203,,,,,,,,,,,,,,,,,,,,,0.2715271139294171,0.40647646543247296,1.2172713580354864,3.63672766338034e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,89.0,2.0,59.0,89.0,0.1,1.5380457687704934,1.5380457687704934,0.0,7.823338031768799,,,,,,,,,,,,,,,,,,,,,0.19243546915151638,0.38294647791408554,1.5297500464333733,8.948978130581086e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,142.0,3.0,53.0,142.0,0.1,3.704520113389422,3.704520113389422,0.0,14.861026048660278,,,,,,,,,,,,,,,,,,,,,1.730024392268197,1.6643767961842308,3.633378355641673,1.0916442025612534e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,173.0,4.0,31.0,173.0,0.1,6.108553088833956,6.108553088833956,0.0,19.1388099193573,,,,,,,,,,,,,,,,,,,,,1.9109484765295808,2.349057437358574,6.061430485602258,4.2532359667040516e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,198.0,5.0,25.0,198.0,0.1,0.689926863198114,0.689926863198114,0.0,22.647223234176636,,,,,,,,,,,,,,,,,,,,,0.1422895108933862,0.22633064229705743,0.6877444265344217,1.0194048893254845e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,223.0,6.0,25.0,223.0,0.1,0.0002082275931861998,0.0002082275931861998,0.0,26.27408528327942,,,,,,,,,,,,,,,,,,,,,4.471691120886588e-05,6.862836087250295e-05,0.00020752451190527685,2.4270211736440884e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,259.0,7.0,36.0,259.0,0.1,0.02372126926140589,0.02372126926140589,0.0,31.425556182861328,,,,,,,,,,,,,,,,,,,,,0.007225091875058328,0.008455827092168789,0.023508158763271572,2.128536100423636e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,342.0,8.0,83.0,342.0,0.1,7.838774879816565,7.838774879816565,0.0,42.62743306159973,,,,,,,,,,,,,,,,,,,,,2.2649004824113095,2.532121605258918,7.666112699061855,2.397836839586618e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,373.0,9.0,31.0,373.0,0.1,0.0006109504834954435,0.0006109504834954435,0.0,47.08610248565674,,,,,,,,,,,,,,,,,,,,,0.00010619716839963694,0.00018124526988565955,0.0006088755134263943,4.942427230229729e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,406.0,10.0,33.0,406.0,0.1,2.1291339898913013,2.1291339898913013,0.0,52.018373012542725,,,,,,,,,,,,,,,,,,,,,0.35495541028829675,0.6475409357095607,2.121661663016156,1.1519799347981626e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,459.0,11.0,53.0,459.0,0.1,0.04557176590549955,0.04557176590549955,0.0,59.57595348358154,,,,,,,,,,,,,,,,,,,,,0.021941451412061927,0.019781079449678947,0.04449782012308633,4.2851423866987025e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,496.0,12.0,37.0,496.0,0.1,2.679951000917221,2.679951000917221,0.0,65.24618887901306,,,,,,,,,,,,,,,,,,,,,2.2278836830806643,0.8573223302387439,2.6563592102362894,0.005413706306868936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,548.0,13.0,52.0,548.0,0.1,0.0368724182177489,0.0368724182177489,0.0,72.81546807289124,,,,,,,,,,,,,,,,,,,,,0.012411627142414842,0.014682800457937151,0.03629957645968624,2.854221944946226e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,587.0,14.0,39.0,587.0,0.1,0.5568320835302243,0.5568320835302243,0.0,78.81341505050659,,,,,,,,,,,,,,,,,,,,,0.0545153498210877,0.13791306194933148,0.5558170631965317,1.4446677041691905e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,629.0,15.0,42.0,629.0,0.1,1.8556419399757895,1.8556419399757895,0.0,85.10088515281677,,,,,,,,,,,,,,,,,,,,,0.5121464783569731,0.6838625931656896,1.8378055612016388,2.7129828216099735e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,657.0,16.0,28.0,657.0,0.1,0.5357477466448078,0.5357477466448078,0.0,89.58215308189392,,,,,,,,,,,,,,,,,,,,,0.08324281249319532,0.1629191321117374,0.5344853841779703,9.753611072503056e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,723.0,17.0,66.0,723.0,0.1,6.364239884667205,6.364239884667205,0.0,98.82723927497864,,,,,,,,,,,,,,,,,,,,,0.7621009824591674,1.7298536140469565,6.326588069375583,1.706173041175122e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,753.0,18.0,30.0,753.0,0.1,0.0005828474118859191,0.0005828474118859191,0.0,103.78914141654968,,,,,,,,,,,,,,,,,,,,,9.993781443078723e-05,0.00018159767913799647,0.0005810107178780338,3.431924285217097e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,808.0,19.0,55.0,808.0,0.1,9.945093927897437,9.945093927897437,0.0,111.86054062843323,,,,,,,,,,,,,,,,,,,,,4.313444460451225,3.9023889692955063,9.72729935398123,0.03343867542573241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,836.0,20.0,28.0,836.0,0.1,0.0005354467632382918,0.0005354467632382918,0.0,116.12384366989136,,,,,,,,,,,,,,,,,,,,,8.837261457612941e-05,0.00015992319290050353,0.0005340398757417681,2.088803157473085e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,39.0,1.0,39.0,875.0,0.1,7.536250238277864,7.536250238277864,0.0,222.46958780288696,,,,,,,,,,,,,,,,,,,,,2.753749817646977,2.9415686860645787,7.443734019695003,3.1327442663407247e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,94.0,2.0,55.0,930.0,0.1,0.8799741077672727,0.8799741077672727,0.0,230.22131752967834,,,,,,,,,,,,,,,,,,,,,0.06994438457403557,0.200124422319779,0.8778820528393265,2.8671183529043983e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,152.0,3.0,58.0,988.0,0.1,0.04571387747705376,0.04571387747705376,0.0,238.59335780143738,,,,,,,,,,,,,,,,,,,,,0.009485805053425177,0.015612241867025242,0.045254163857506274,3.8494502369787104e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,176.0,4.0,24.0,1012.0,0.1,3.776551754446287,3.776551754446287,0.0,242.14748740196228,,,,,,,,,,,,,,,,,,,,,1.073224703641262,1.4586159514147075,3.7583072176870522,3.0361948979288733e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,216.0,5.0,40.0,1052.0,0.1,1.166120926088495,1.166120926088495,0.0,248.10316395759583,,,,,,,,,,,,,,,,,,,,,0.2421654772771557,0.3574196959014663,1.158750649545851,1.1800070010622093e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
